state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Imo,south east,skilled_birth,Skilled birth attendance,238,231,97.32,1.32,94.73,99.9,Report,97.3% (95% CI 94.7-99.9%),97.32,94.73,99.9,97.3% (95% CI 94.7-99.9%)
Imo,south east,facility_delivery,Health facility delivery,238,230,96.84,1.11,94.65,99.02,Report,96.8% (95% CI 94.7-99.0%),96.84,94.65,99.02,96.8% (95% CI 94.7-99.0%)
Imo,south east,mother_pnc_2days,Maternal PNC within 2 days,238,146,61.67,4.42,53.01,70.33,Report,61.7% (95% CI 53.0-70.3%),61.67,53.01,70.33,61.7% (95% CI 53.0-70.3%)
Imo,south east,newborn_pnc_2days,Newborn PNC within 2 days,238,141,59.52,4.82,50.07,68.98,Report,59.5% (95% CI 50.1-69.0%),59.52,50.07,68.98,59.5% (95% CI 50.1-69.0%)
Imo,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,238,133,55.92,4.59,46.92,64.93,Report,55.9% (95% CI 46.9-64.9%),55.92,46.92,64.93,55.9% (95% CI 46.9-64.9%)
Imo,south east,complete_continuum,Complete continuum,230,117,51.04,4.36,42.49,59.58,Report,51.0% (95% CI 42.5-59.6%),51.04,42.49,59.58,51.0% (95% CI 42.5-59.6%)
Jigawa,north west,anc_4plus,Four or more ANC contacts,523,191,37.66,2.83,32.12,43.2,Report,37.7% (95% CI 32.1-43.2%),37.66,32.12,43.2,37.7% (95% CI 32.1-43.2%)
Jigawa,north west,anc_8plus,Eight or more ANC contacts,523,7,1.3,0.47,0.37,2.23,Report,1.3% (95% CI 0.4-2.2%),1.3,0.37,2.23,1.3% (95% CI 0.4-2.2%)
Jigawa,north west,skilled_birth,Skilled birth attendance,523,123,23.58,2.48,18.72,28.45,Report,23.6% (95% CI 18.7-28.4%),23.58,18.72,28.45,23.6% (95% CI 18.7-28.4%)
Jigawa,north west,facility_delivery,Health facility delivery,523,108,20.85,2.41,16.12,25.58,Report,20.9% (95% CI 16.1-25.6%),20.85,16.12,25.58,20.9% (95% CI 16.1-25.6%)
Jigawa,north west,mother_pnc_2days,Maternal PNC within 2 days,523,228,43.86,2.27,39.42,48.3,Report,43.9% (95% CI 39.4-48.3%),43.86,39.42,48.3,43.9% (95% CI 39.4-48.3%)
Jigawa,north west,newborn_pnc_2days,Newborn PNC within 2 days,523,223,41.4,2.88,35.76,47.03,Report,41.4% (95% CI 35.8-47.0%),41.4,35.76,47.03,41.4% (95% CI 35.8-47.0%)
Jigawa,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,523,207,38.48,2.62,33.34,43.62,Report,38.5% (95% CI 33.3-43.6%),38.48,33.34,43.62,38.5% (95% CI 33.3-43.6%)
Jigawa,north west,complete_continuum,Complete continuum,523,44,8.84,1.81,5.3,12.38,Report,8.8% (95% CI 5.3-12.4%),8.84,5.3,12.38,8.8% (95% CI 5.3-12.4%)
Kaduna,north west,anc_4plus,Four or more ANC contacts,504,296,59.43,4.34,50.93,67.94,Report,59.4% (95% CI 50.9-67.9%),59.43,50.93,67.94,59.4% (95% CI 50.9-67.9%)
Kaduna,north west,anc_8plus,Eight or more ANC contacts,504,62,12.97,2.08,8.89,17.04,Report,13.0% (95% CI 8.9-17.0%),12.97,8.89,17.04,13.0% (95% CI 8.9-17.0%)
Kaduna,north west,skilled_birth,Skilled birth attendance,504,178,35.03,4.79,25.63,44.43,Report,35.0% (95% CI 25.6-44.4%),35.03,25.63,44.43,35.0% (95% CI 25.6-44.4%)
Kaduna,north west,facility_delivery,Health facility delivery,502,129,25.09,4.39,16.48,33.7,Report,25.1% (95% CI 16.5-33.7%),25.09,16.48,33.7,25.1% (95% CI 16.5-33.7%)
Kaduna,north west,mother_pnc_2days,Maternal PNC within 2 days,504,119,22.62,3.79,15.2,30.04,Report,22.6% (95% CI 15.2-30.0%),22.62,15.2,30.04,22.6% (95% CI 15.2-30.0%)
Kaduna,north west,newborn_pnc_2days,Newborn PNC within 2 days,504,125,23.57,3.49,16.73,30.41,Report,23.6% (95% CI 16.7-30.4%),23.57,16.73,30.41,23.6% (95% CI 16.7-30.4%)
Kaduna,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,504,107,19.75,3.43,13.03,26.46,Report,19.8% (95% CI 13.0-26.5%),19.75,13.03,26.46,19.8% (95% CI 13.0-26.5%)
Kaduna,north west,complete_continuum,Complete continuum,504,89,16.82,2.87,11.19,22.45,Report,16.8% (95% CI 11.2-22.4%),16.82,11.19,22.45,16.8% (95% CI 11.2-22.4%)
Kano,north west,anc_4plus,Four or more ANC contacts,566,298,52.18,3.45,45.41,58.95,Report,52.2% (95% CI 45.4-59.0%),52.18,45.41,58.95,52.2% (95% CI 45.4-59.0%)
Kano,north west,anc_8plus,Eight or more ANC contacts,566,36,6.69,2,2.77,10.61,Report,6.7% (95% CI 2.8-10.6%),6.69,2.77,10.61,6.7% (95% CI 2.8-10.6%)
Kano,north west,skilled_birth,Skilled birth attendance,575,206,35.66,3.17,29.44,41.87,Report,35.7% (95% CI 29.4-41.9%),35.66,29.44,41.87,35.7% (95% CI 29.4-41.9%)
Kano,north west,facility_delivery,Health facility delivery,574,184,32.34,2.92,26.61,38.07,Report,32.3% (95% CI 26.6-38.1%),32.34,26.61,38.07,32.3% (95% CI 26.6-38.1%)
Kano,north west,mother_pnc_2days,Maternal PNC within 2 days,575,184,32.84,2.98,27,38.68,Report,32.8% (95% CI 27.0-38.7%),32.84,27,38.68,32.8% (95% CI 27.0-38.7%)
Kano,north west,newborn_pnc_2days,Newborn PNC within 2 days,575,169,30.07,2.82,24.55,35.59,Report,30.1% (95% CI 24.6-35.6%),30.07,24.55,35.59,30.1% (95% CI 24.6-35.6%)
Kano,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,575,141,25.3,2.84,19.74,30.86,Report,25.3% (95% CI 19.7-30.9%),25.3,19.74,30.86,25.3% (95% CI 19.7-30.9%)
Kano,north west,complete_continuum,Complete continuum,566,79,13.96,1.95,10.14,17.78,Report,14.0% (95% CI 10.1-17.8%),13.96,10.14,17.78,14.0% (95% CI 10.1-17.8%)
Katsina,north west,anc_4plus,Four or more ANC contacts,419,160,37.24,4.5,28.42,46.06,Report,37.2% (95% CI 28.4-46.1%),37.24,28.42,46.06,37.2% (95% CI 28.4-46.1%)
Katsina,north west,anc_8plus,Eight or more ANC contacts,419,10,3.14,1.02,1.14,5.13,Report,3.1% (95% CI 1.1-5.1%),3.14,1.14,5.13,3.1% (95% CI 1.1-5.1%)
Katsina,north west,skilled_birth,Skilled birth attendance,420,83,18.56,3.13,12.43,24.7,Report,18.6% (95% CI 12.4-24.7%),18.56,12.43,24.7,18.6% (95% CI 12.4-24.7%)
Katsina,north west,facility_delivery,Health facility delivery,420,69,15.33,2.28,10.87,19.8,Report,15.3% (95% CI 10.9-19.8%),15.33,10.87,19.8,15.3% (95% CI 10.9-19.8%)
Katsina,north west,mother_pnc_2days,Maternal PNC within 2 days,420,84,19.39,2.27,14.93,23.84,Report,19.4% (95% CI 14.9-23.8%),19.39,14.93,23.84,19.4% (95% CI 14.9-23.8%)
Katsina,north west,newborn_pnc_2days,Newborn PNC within 2 days,420,77,17.47,2.05,13.45,21.49,Report,17.5% (95% CI 13.4-21.5%),17.47,13.45,21.49,17.5% (95% CI 13.4-21.5%)
Katsina,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,420,57,13.03,1.82,9.46,16.59,Report,13.0% (95% CI 9.5-16.6%),13.03,9.46,16.59,13.0% (95% CI 9.5-16.6%)
Katsina,north west,complete_continuum,Complete continuum,419,24,5.78,1.26,3.32,8.25,Report,5.8% (95% CI 3.3-8.2%),5.78,3.32,8.25,5.8% (95% CI 3.3-8.2%)
Kebbi,north west,anc_4plus,Four or more ANC contacts,504,93,14.03,2.13,9.86,18.2,Report,14.0% (95% CI 9.9-18.2%),14.03,9.86,18.2,14.0% (95% CI 9.9-18.2%)
Kebbi,north west,anc_8plus,Eight or more ANC contacts,504,15,1.85,0.66,0.56,3.15,Report,1.8% (95% CI 0.6-3.1%),1.85,0.56,3.15,1.8% (95% CI 0.6-3.1%)
Kebbi,north west,skilled_birth,Skilled birth attendance,504,62,9.81,1.69,6.49,13.13,Report,9.8% (95% CI 6.5-13.1%),9.81,6.49,13.13,9.8% (95% CI 6.5-13.1%)
Kebbi,north west,facility_delivery,Health facility delivery,504,55,9.1,1.46,6.24,11.96,Report,9.1% (95% CI 6.2-12.0%),9.1,6.24,11.96,9.1% (95% CI 6.2-12.0%)
Kebbi,north west,mother_pnc_2days,Maternal PNC within 2 days,504,63,11.32,1.94,7.52,15.12,Report,11.3% (95% CI 7.5-15.1%),11.32,7.52,15.12,11.3% (95% CI 7.5-15.1%)
Kebbi,north west,newborn_pnc_2days,Newborn PNC within 2 days,504,82,14.17,2.13,9.99,18.35,Report,14.2% (95% CI 10.0-18.4%),14.17,9.99,18.35,14.2% (95% CI 10.0-18.4%)
Kebbi,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,504,57,9.97,1.85,6.34,13.59,Report,10.0% (95% CI 6.3-13.6%),9.97,6.34,13.59,10.0% (95% CI 6.3-13.6%)
Kebbi,north west,complete_continuum,Complete continuum,504,23,3.28,0.82,1.68,4.88,Report,3.3% (95% CI 1.7-4.9%),3.28,1.68,4.88,3.3% (95% CI 1.7-4.9%)
Kogi,north central,anc_4plus,Four or more ANC contacts,269,148,54.26,5.14,44.18,64.34,Report,54.3% (95% CI 44.2-64.3%),54.26,44.18,64.34,54.3% (95% CI 44.2-64.3%)
Kogi,north central,anc_8plus,Eight or more ANC contacts,269,37,14.12,3.08,8.08,20.15,Report,14.1% (95% CI 8.1-20.1%),14.12,8.08,20.15,14.1% (95% CI 8.1-20.1%)
Kogi,north central,skilled_birth,Skilled birth attendance,270,169,60.65,4.7,51.44,69.86,Report,60.6% (95% CI 51.4-69.9%),60.65,51.44,69.86,60.6% (95% CI 51.4-69.9%)
Kogi,north central,facility_delivery,Health facility delivery,267,169,62.74,4.73,53.48,72.01,Report,62.7% (95% CI 53.5-72.0%),62.74,53.48,72.01,62.7% (95% CI 53.5-72.0%)
Kogi,north central,mother_pnc_2days,Maternal PNC within 2 days,270,154,56.17,4.91,46.56,65.79,Report,56.2% (95% CI 46.6-65.8%),56.17,46.56,65.79,56.2% (95% CI 46.6-65.8%)
Kogi,north central,newborn_pnc_2days,Newborn PNC within 2 days,270,152,55.33,5.02,45.49,65.17,Report,55.3% (95% CI 45.5-65.2%),55.33,45.49,65.17,55.3% (95% CI 45.5-65.2%)
Kogi,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,270,143,51.08,4.74,41.8,60.37,Report,51.1% (95% CI 41.8-60.4%),51.08,41.8,60.37,51.1% (95% CI 41.8-60.4%)
Kogi,north central,complete_continuum,Complete continuum,269,103,37.44,4.6,28.43,46.46,Report,37.4% (95% CI 28.4-46.5%),37.44,28.43,46.46,37.4% (95% CI 28.4-46.5%)
Kwara,north central,anc_4plus,Four or more ANC contacts,226,113,51.58,7.95,35.99,67.16,Report,51.6% (95% CI 36.0-67.2%),51.58,35.99,67.16,51.6% (95% CI 36.0-67.2%)
Kwara,north central,anc_8plus,Eight or more ANC contacts,226,63,29.42,5.1,19.43,39.41,Report,29.4% (95% CI 19.4-39.4%),29.42,19.43,39.41,29.4% (95% CI 19.4-39.4%)
Kwara,north central,skilled_birth,Skilled birth attendance,227,119,54.4,8.66,37.43,71.38,Report,54.4% (95% CI 37.4-71.4%),54.4,37.43,71.38,54.4% (95% CI 37.4-71.4%)
Kwara,north central,facility_delivery,Health facility delivery,227,111,50.96,8.28,34.73,67.19,Report,51.0% (95% CI 34.7-67.2%),50.96,34.73,67.19,51.0% (95% CI 34.7-67.2%)
Kwara,north central,mother_pnc_2days,Maternal PNC within 2 days,227,127,56.95,5.65,45.89,68.02,Report,57.0% (95% CI 45.9-68.0%),56.95,45.89,68.02,57.0% (95% CI 45.9-68.0%)
Kwara,north central,newborn_pnc_2days,Newborn PNC within 2 days,227,132,58.13,5.58,47.19,69.07,Report,58.1% (95% CI 47.2-69.1%),58.13,47.19,69.07,58.1% (95% CI 47.2-69.1%)
Kwara,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,227,120,53.47,5.41,42.86,64.08,Report,53.5% (95% CI 42.9-64.1%),53.47,42.86,64.08,53.5% (95% CI 42.9-64.1%)
Kwara,north central,complete_continuum,Complete continuum,226,80,36.08,6.67,23.01,49.16,Report,36.1% (95% CI 23.0-49.2%),36.08,23.01,49.16,36.1% (95% CI 23.0-49.2%)
Lagos,south west,anc_4plus,Four or more ANC contacts,175,170,96.64,1.88,92.96,100.32,Report,96.6% (95% CI 93.0-100.3%),96.64,92.96,100.32,96.6% (95% CI 93.0-100.3%)
Lagos,south west,anc_8plus,Eight or more ANC contacts,175,155,87.57,3.57,80.57,94.57,Report,87.6% (95% CI 80.6-94.6%),87.57,80.57,94.57,87.6% (95% CI 80.6-94.6%)
Lagos,south west,skilled_birth,Skilled birth attendance,177,155,86.23,6.02,74.43,98.04,Report,86.2% (95% CI 74.4-98.0%),86.23,74.43,98.04,86.2% (95% CI 74.4-98.0%)
Lagos,south west,facility_delivery,Health facility delivery,177,152,85.9,5.14,75.83,95.98,Report,85.9% (95% CI 75.8-96.0%),85.9,75.83,95.98,85.9% (95% CI 75.8-96.0%)
Lagos,south west,mother_pnc_2days,Maternal PNC within 2 days,177,152,87.32,2.58,82.25,92.38,Report,87.3% (95% CI 82.2-92.4%),87.32,82.25,92.38,87.3% (95% CI 82.2-92.4%)
Lagos,south west,newborn_pnc_2days,Newborn PNC within 2 days,177,150,86.47,2.63,81.31,91.63,Report,86.5% (95% CI 81.3-91.6%),86.47,81.31,91.63,86.5% (95% CI 81.3-91.6%)
Lagos,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,177,144,83.21,3.11,77.11,89.3,Report,83.2% (95% CI 77.1-89.3%),83.21,77.11,89.3,83.2% (95% CI 77.1-89.3%)
Lagos,south west,complete_continuum,Complete continuum,175,127,72.69,5.49,61.92,83.46,Report,72.7% (95% CI 61.9-83.5%),72.69,61.92,83.46,72.7% (95% CI 61.9-83.5%)
Nasarawa,north central,anc_4plus,Four or more ANC contacts,294,193,65.95,3.39,59.3,72.6,Report,66.0% (95% CI 59.3-72.6%),65.95,59.3,72.6,66.0% (95% CI 59.3-72.6%)
Nasarawa,north central,anc_8plus,Eight or more ANC contacts,294,28,10.19,1.77,6.72,13.66,Report,10.2% (95% CI 6.7-13.7%),10.19,6.72,13.66,10.2% (95% CI 6.7-13.7%)
Nasarawa,north central,skilled_birth,Skilled birth attendance,294,196,68.02,4.49,59.22,76.82,Report,68.0% (95% CI 59.2-76.8%),68.02,59.22,76.82,68.0% (95% CI 59.2-76.8%)
Nasarawa,north central,facility_delivery,Health facility delivery,290,156,54.95,4.87,45.41,64.49,Report,55.0% (95% CI 45.4-64.5%),54.95,45.41,64.49,55.0% (95% CI 45.4-64.5%)
Nasarawa,north central,mother_pnc_2days,Maternal PNC within 2 days,294,195,68.39,4.05,60.46,76.33,Report,68.4% (95% CI 60.5-76.3%),68.39,60.46,76.33,68.4% (95% CI 60.5-76.3%)
Nasarawa,north central,newborn_pnc_2days,Newborn PNC within 2 days,294,186,65.23,3.82,57.74,72.73,Report,65.2% (95% CI 57.7-72.7%),65.23,57.74,72.73,65.2% (95% CI 57.7-72.7%)
Nasarawa,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,294,177,62.1,3.76,54.74,69.47,Report,62.1% (95% CI 54.7-69.5%),62.1,54.74,69.47,62.1% (95% CI 54.7-69.5%)
Nasarawa,north central,complete_continuum,Complete continuum,294,128,44.47,3.61,37.39,51.55,Report,44.5% (95% CI 37.4-51.5%),44.47,37.39,51.55,44.5% (95% CI 37.4-51.5%)
Niger,north central,anc_4plus,Four or more ANC contacts,368,136,34.69,4.72,25.44,43.94,Report,34.7% (95% CI 25.4-43.9%),34.69,25.44,43.94,34.7% (95% CI 25.4-43.9%)
Niger,north central,anc_8plus,Eight or more ANC contacts,368,16,3.23,1.04,1.21,5.26,Report,3.2% (95% CI 1.2-5.3%),3.23,1.21,5.26,3.2% (95% CI 1.2-5.3%)
Niger,north central,skilled_birth,Skilled birth attendance,368,133,33.77,4.81,24.35,43.2,Report,33.8% (95% CI 24.4-43.2%),33.77,24.35,43.2,33.8% (95% CI 24.4-43.2%)
Niger,north central,facility_delivery,Health facility delivery,368,119,30.2,4.17,22.04,38.37,Report,30.2% (95% CI 22.0-38.4%),30.2,22.04,38.37,30.2% (95% CI 22.0-38.4%)
Niger,north central,mother_pnc_2days,Maternal PNC within 2 days,368,128,32.58,3.43,25.85,39.31,Report,32.6% (95% CI 25.9-39.3%),32.58,25.85,39.31,32.6% (95% CI 25.9-39.3%)
Niger,north central,newborn_pnc_2days,Newborn PNC within 2 days,368,138,35.24,3.3,28.78,41.7,Report,35.2% (95% CI 28.8-41.7%),35.24,28.78,41.7,35.2% (95% CI 28.8-41.7%)
Niger,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,368,120,30.54,3.25,24.18,36.91,Report,30.5% (95% CI 24.2-36.9%),30.54,24.18,36.91,30.5% (95% CI 24.2-36.9%)
Niger,north central,complete_continuum,Complete continuum,368,64,15.08,3.3,8.62,21.54,Report,15.1% (95% CI 8.6-21.5%),15.08,8.62,21.54,15.1% (95% CI 8.6-21.5%)
Ogun,south west,anc_4plus,Four or more ANC contacts,168,152,89.96,2.66,84.75,95.16,Report,90.0% (95% CI 84.8-95.2%),89.96,84.75,95.16,90.0% (95% CI 84.8-95.2%)
Ogun,south west,anc_8plus,Eight or more ANC contacts,168,141,82.49,3.34,75.93,89.04,Report,82.5% (95% CI 75.9-89.0%),82.49,75.93,89.04,82.5% (95% CI 75.9-89.0%)
Ogun,south west,skilled_birth,Skilled birth attendance,206,167,82.86,3.5,76.01,89.72,Report,82.9% (95% CI 76.0-89.7%),82.86,76.01,89.72,82.9% (95% CI 76.0-89.7%)
Ogun,south west,facility_delivery,Health facility delivery,206,169,83.58,3.22,77.27,89.88,Report,83.6% (95% CI 77.3-89.9%),83.58,77.27,89.88,83.6% (95% CI 77.3-89.9%)
Ogun,south west,mother_pnc_2days,Maternal PNC within 2 days,206,167,81.03,3.46,74.25,87.81,Report,81.0% (95% CI 74.2-87.8%),81.03,74.25,87.81,81.0% (95% CI 74.2-87.8%)
Ogun,south west,newborn_pnc_2days,Newborn PNC within 2 days,206,171,81.72,3.49,74.88,88.55,Report,81.7% (95% CI 74.9-88.5%),81.72,74.88,88.55,81.7% (95% CI 74.9-88.5%)
Ogun,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,206,160,76.92,3.97,69.15,84.7,Report,76.9% (95% CI 69.2-84.7%),76.92,69.15,84.7,76.9% (95% CI 69.2-84.7%)
Ogun,south west,complete_continuum,Complete continuum,168,101,60.1,4.61,51.06,69.14,Report,60.1% (95% CI 51.1-69.1%),60.1,51.06,69.14,60.1% (95% CI 51.1-69.1%)
Ondo,south west,anc_4plus,Four or more ANC contacts,125,84,72.3,4.98,62.54,82.05,Report,72.3% (95% CI 62.5-82.0%),72.3,62.54,82.05,72.3% (95% CI 62.5-82.0%)
Ondo,south west,anc_8plus,Eight or more ANC contacts,125,41,35.47,6.18,23.35,47.6,Report,35.5% (95% CI 23.4-47.6%),35.47,23.35,47.6,35.5% (95% CI 23.4-47.6%)
Ondo,south west,skilled_birth,Skilled birth attendance,134,93,76.11,5.79,64.77,87.45,Report,76.1% (95% CI 64.8-87.5%),76.11,64.77,87.45,76.1% (95% CI 64.8-87.5%)
Ondo,south west,facility_delivery,Health facility delivery,132,105,84.38,4.22,76.11,92.65,Report,84.4% (95% CI 76.1-92.7%),84.38,76.11,92.65,84.4% (95% CI 76.1-92.7%)
Ondo,south west,mother_pnc_2days,Maternal PNC within 2 days,134,96,75.87,4.82,66.44,85.31,Report,75.9% (95% CI 66.4-85.3%),75.87,66.44,85.31,75.9% (95% CI 66.4-85.3%)
Ondo,south west,newborn_pnc_2days,Newborn PNC within 2 days,134,94,73.49,5.38,62.95,84.03,Report,73.5% (95% CI 63.0-84.0%),73.49,62.95,84.03,73.5% (95% CI 63.0-84.0%)
Ondo,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,134,88,70.09,5.17,59.95,80.22,Report,70.1% (95% CI 60.0-80.2%),70.09,59.95,80.22,70.1% (95% CI 60.0-80.2%)
Ondo,south west,complete_continuum,Complete continuum,125,59,52.07,5.78,40.76,63.39,Report,52.1% (95% CI 40.8-63.4%),52.07,40.76,63.39,52.1% (95% CI 40.8-63.4%)
Osun,south west,anc_4plus,Four or more ANC contacts,148,137,92.72,2.62,87.59,97.86,Report,92.7% (95% CI 87.6-97.9%),92.72,87.59,97.86,92.7% (95% CI 87.6-97.9%)
Osun,south west,anc_8plus,Eight or more ANC contacts,148,102,72.19,5.13,62.13,82.25,Report,72.2% (95% CI 62.1-82.2%),72.19,62.13,82.25,72.2% (95% CI 62.1-82.2%)
Osun,south west,skilled_birth,Skilled birth attendance,149,137,91.54,2.09,87.44,95.64,Report,91.5% (95% CI 87.4-95.6%),91.54,87.44,95.64,91.5% (95% CI 87.4-95.6%)
Osun,south west,facility_delivery,Health facility delivery,148,131,87.49,3.1,81.41,93.57,Report,87.5% (95% CI 81.4-93.6%),87.49,81.41,93.57,87.5% (95% CI 81.4-93.6%)
Osun,south west,mother_pnc_2days,Maternal PNC within 2 days,149,115,75.28,3.53,68.37,82.2,Report,75.3% (95% CI 68.4-82.2%),75.28,68.37,82.2,75.3% (95% CI 68.4-82.2%)
Osun,south west,newborn_pnc_2days,Newborn PNC within 2 days,149,117,76.5,3.47,69.69,83.32,Report,76.5% (95% CI 69.7-83.3%),76.5,69.69,83.32,76.5% (95% CI 69.7-83.3%)
Osun,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,149,107,70.33,3.59,63.3,77.37,Report,70.3% (95% CI 63.3-77.4%),70.33,63.3,77.37,70.3% (95% CI 63.3-77.4%)
Osun,south west,complete_continuum,Complete continuum,148,98,64.7,3.54,57.76,71.63,Report,64.7% (95% CI 57.8-71.6%),64.7,57.76,71.63,64.7% (95% CI 57.8-71.6%)
Oyo,south west,anc_4plus,Four or more ANC contacts,197,157,79.89,4.23,71.59,88.18,Report,79.9% (95% CI 71.6-88.2%),79.89,71.59,88.18,79.9% (95% CI 71.6-88.2%)
Oyo,south west,anc_8plus,Eight or more ANC contacts,197,99,49.36,3.73,42.05,56.67,Report,49.4% (95% CI 42.0-56.7%),49.36,42.05,56.67,49.4% (95% CI 42.0-56.7%)
Oyo,south west,skilled_birth,Skilled birth attendance,215,179,83.05,4.57,74.09,92.02,Report,83.0% (95% CI 74.1-92.0%),83.05,74.09,92.02,83.0% (95% CI 74.1-92.0%)
Oyo,south west,facility_delivery,Health facility delivery,210,161,76.8,3.9,69.16,84.44,Report,76.8% (95% CI 69.2-84.4%),76.8,69.16,84.44,76.8% (95% CI 69.2-84.4%)
Oyo,south west,mother_pnc_2days,Maternal PNC within 2 days,215,151,68.32,4.79,58.94,77.71,Report,68.3% (95% CI 58.9-77.7%),68.32,58.94,77.71,68.3% (95% CI 58.9-77.7%)
Oyo,south west,newborn_pnc_2days,Newborn PNC within 2 days,215,158,71.45,4.56,62.52,80.39,Report,71.5% (95% CI 62.5-80.4%),71.45,62.52,80.39,71.5% (95% CI 62.5-80.4%)
Oyo,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,215,146,65.58,4.87,56.03,75.13,Report,65.6% (95% CI 56.0-75.1%),65.58,56.03,75.13,65.6% (95% CI 56.0-75.1%)
Oyo,south west,complete_continuum,Complete continuum,197,123,61.06,4.85,51.55,70.57,Report,61.1% (95% CI 51.5-70.6%),61.06,51.55,70.57,61.1% (95% CI 51.5-70.6%)
Plateau,north central,anc_4plus,Four or more ANC contacts,328,155,47.59,4.53,38.72,56.45,Report,47.6% (95% CI 38.7-56.5%),47.59,38.72,56.45,47.6% (95% CI 38.7-56.5%)
Plateau,north central,anc_8plus,Eight or more ANC contacts,328,30,8.93,1.91,5.19,12.67,Report,8.9% (95% CI 5.2-12.7%),8.93,5.19,12.67,8.9% (95% CI 5.2-12.7%)
Plateau,north central,skilled_birth,Skilled birth attendance,336,161,49.89,5.05,40,59.78,Report,49.9% (95% CI 40.0-59.8%),49.89,40,59.78,49.9% (95% CI 40.0-59.8%)
Plateau,north central,facility_delivery,Health facility delivery,334,144,45.71,5.58,34.78,56.64,Report,45.7% (95% CI 34.8-56.6%),45.71,34.78,56.64,45.7% (95% CI 34.8-56.6%)
Plateau,north central,mother_pnc_2days,Maternal PNC within 2 days,336,180,56.32,4.41,47.69,64.96,Report,56.3% (95% CI 47.7-65.0%),56.32,47.69,64.96,56.3% (95% CI 47.7-65.0%)
Plateau,north central,newborn_pnc_2days,Newborn PNC within 2 days,336,170,52.88,4.37,44.31,61.44,Report,52.9% (95% CI 44.3-61.4%),52.88,44.31,61.44,52.9% (95% CI 44.3-61.4%)
Plateau,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,336,169,52.64,4.37,44.06,61.21,Report,52.6% (95% CI 44.1-61.2%),52.64,44.06,61.21,52.6% (95% CI 44.1-61.2%)
Plateau,north central,complete_continuum,Complete continuum,328,100,31.29,4.19,23.07,39.5,Report,31.3% (95% CI 23.1-39.5%),31.29,23.07,39.5,31.3% (95% CI 23.1-39.5%)
Rivers,south south,anc_4plus,Four or more ANC contacts,196,150,76.48,3.78,69.06,83.89,Report,76.5% (95% CI 69.1-83.9%),76.48,69.06,83.89,76.5% (95% CI 69.1-83.9%)
Rivers,south south,anc_8plus,Eight or more ANC contacts,196,100,49.74,4.52,40.88,58.6,Report,49.7% (95% CI 40.9-58.6%),49.74,40.88,58.6,49.7% (95% CI 40.9-58.6%)
Rivers,south south,skilled_birth,Skilled birth attendance,196,175,91.09,2.98,85.26,96.93,Report,91.1% (95% CI 85.3-96.9%),91.09,85.26,96.93,91.1% (95% CI 85.3-96.9%)
Rivers,south south,facility_delivery,Health facility delivery,195,118,59.11,4.9,49.51,68.71,Report,59.1% (95% CI 49.5-68.7%),59.11,49.51,68.71,59.1% (95% CI 49.5-68.7%)
Rivers,south south,mother_pnc_2days,Maternal PNC within 2 days,196,109,54.34,4.37,45.78,62.89,Report,54.3% (95% CI 45.8-62.9%),54.34,45.78,62.89,54.3% (95% CI 45.8-62.9%)
Rivers,south south,newborn_pnc_2days,Newborn PNC within 2 days,196,107,54.19,4.28,45.81,62.57,Report,54.2% (95% CI 45.8-62.6%),54.19,45.81,62.57,54.2% (95% CI 45.8-62.6%)
Rivers,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,196,99,50.04,4.15,41.9,58.18,Report,50.0% (95% CI 41.9-58.2%),50.04,41.9,58.18,50.0% (95% CI 41.9-58.2%)
Rivers,south south,complete_continuum,Complete continuum,196,88,44.35,4.59,35.34,53.35,Report,44.4% (95% CI 35.3-53.4%),44.35,35.34,53.35,44.4% (95% CI 35.3-53.4%)
Sokoto,north west,anc_4plus,Four or more ANC contacts,441,107,22.75,4.29,14.35,31.15,Report,22.8% (95% CI 14.3-31.1%),22.75,14.35,31.15,22.8% (95% CI 14.3-31.1%)
Sokoto,north west,anc_8plus,Eight or more ANC contacts,441,18,4.08,1.27,1.6,6.56,Report,4.1% (95% CI 1.6-6.6%),4.08,1.6,6.56,4.1% (95% CI 1.6-6.6%)
