state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Kebbi,north west,anc_4plus,Four or more ANC contacts,504,93,14.03,2.13,9.86,18.2,Report,14.0% (95% CI 9.9-18.2%),14.03,9.86,18.2,14.0% (95% CI 9.9-18.2%),53.65,37,96.64,14.03,82.61,-39.62
Imo,south east,facility_delivery,Health facility delivery,238,230,96.84,1.11,94.65,99.02,Report,96.8% (95% CI 94.7-99.0%),96.84,94.65,99.02,96.8% (95% CI 94.7-99.0%),42.93,1,96.84,9.1,0,53.91
Enugu,south east,facility_delivery,Health facility delivery,155,146,93.63,2.33,89.06,98.2,Report,93.6% (95% CI 89.1-98.2%),93.63,89.06,98.2,93.6% (95% CI 89.1-98.2%),42.93,2,96.84,9.1,3.21,50.7
Edo,south south,facility_delivery,Health facility delivery,158,143,90.59,2.38,85.93,95.25,Report,90.6% (95% CI 85.9-95.2%),90.59,85.93,95.25,90.6% (95% CI 85.9-95.2%),42.93,3,96.84,9.1,6.25,47.66
Anambra,south east,facility_delivery,Health facility delivery,200,175,88.25,2.54,83.28,93.22,Report,88.2% (95% CI 83.3-93.2%),88.25,83.28,93.22,88.2% (95% CI 83.3-93.2%),42.93,4,96.84,9.1,8.59,45.32
Osun,south west,facility_delivery,Health facility delivery,148,131,87.49,3.1,81.41,93.57,Report,87.5% (95% CI 81.4-93.6%),87.49,81.41,93.57,87.5% (95% CI 81.4-93.6%),42.93,5,96.84,9.1,9.35,44.56
Abia,south east,facility_delivery,Health facility delivery,152,132,87.26,2.82,81.74,92.77,Report,87.3% (95% CI 81.7-92.8%),87.26,81.74,92.77,87.3% (95% CI 81.7-92.8%),42.93,6,96.84,9.1,9.58,44.33
Lagos,south west,facility_delivery,Health facility delivery,177,152,85.9,5.14,75.83,95.98,Report,85.9% (95% CI 75.8-96.0%),85.9,75.83,95.98,85.9% (95% CI 75.8-96.0%),42.93,7,96.84,9.1,10.94,42.97
Ekiti,south west,facility_delivery,Health facility delivery,106,89,85.45,3.23,79.13,91.77,Report,85.5% (95% CI 79.1-91.8%),85.45,79.13,91.77,85.5% (95% CI 79.1-91.8%),42.93,8,96.84,9.1,11.39,42.52
Ondo,south west,facility_delivery,Health facility delivery,132,105,84.38,4.22,76.11,92.65,Report,84.4% (95% CI 76.1-92.7%),84.38,76.11,92.65,84.4% (95% CI 76.1-92.7%),42.93,9,96.84,9.1,12.46,41.45
Ogun,south west,facility_delivery,Health facility delivery,206,169,83.58,3.22,77.27,89.88,Report,83.6% (95% CI 77.3-89.9%),83.58,77.27,89.88,83.6% (95% CI 77.3-89.9%),42.93,10,96.84,9.1,13.26,40.65
Delta,south south,facility_delivery,Health facility delivery,205,165,83.48,5.12,73.45,93.51,Report,83.5% (95% CI 73.5-93.5%),83.48,73.45,93.51,83.5% (95% CI 73.5-93.5%),42.93,11,96.84,9.1,13.36,40.55
Federal Capital Territory,north central,facility_delivery,Health facility delivery,165,135,82.37,5.18,72.21,92.53,Report,82.4% (95% CI 72.2-92.5%),82.37,72.21,92.53,82.4% (95% CI 72.2-92.5%),42.93,12,96.84,9.1,14.47,39.44
Ebonyi,south east,facility_delivery,Health facility delivery,330,263,79.21,3.52,72.31,86.11,Report,79.2% (95% CI 72.3-86.1%),79.21,72.31,86.11,79.2% (95% CI 72.3-86.1%),42.93,13,96.84,9.1,17.63,36.28
Oyo,south west,facility_delivery,Health facility delivery,210,161,76.8,3.9,69.16,84.44,Report,76.8% (95% CI 69.2-84.4%),76.8,69.16,84.44,76.8% (95% CI 69.2-84.4%),42.93,14,96.84,9.1,20.04,33.87
Kogi,north central,facility_delivery,Health facility delivery,267,169,62.74,4.73,53.48,72.01,Report,62.7% (95% CI 53.5-72.0%),62.74,53.48,72.01,62.7% (95% CI 53.5-72.0%),42.93,15,96.84,9.1,34.1,19.81
Benue,north central,facility_delivery,Health facility delivery,217,122,59.66,5.55,48.78,70.54,Report,59.7% (95% CI 48.8-70.5%),59.66,48.78,70.54,59.7% (95% CI 48.8-70.5%),42.93,16,96.84,9.1,37.18,16.73
Rivers,south south,facility_delivery,Health facility delivery,195,118,59.11,4.9,49.51,68.71,Report,59.1% (95% CI 49.5-68.7%),59.11,49.51,68.71,59.1% (95% CI 49.5-68.7%),42.93,17,96.84,9.1,37.73,16.18
Cross River,south south,facility_delivery,Health facility delivery,148,84,58.21,5.27,47.88,68.54,Report,58.2% (95% CI 47.9-68.5%),58.21,47.88,68.54,58.2% (95% CI 47.9-68.5%),42.93,18,96.84,9.1,38.63,15.28
Nasarawa,north central,facility_delivery,Health facility delivery,290,156,54.95,4.87,45.41,64.49,Report,55.0% (95% CI 45.4-64.5%),54.95,45.41,64.49,55.0% (95% CI 45.4-64.5%),42.93,19,96.84,9.1,41.89,12.02
Kwara,north central,facility_delivery,Health facility delivery,227,111,50.96,8.28,34.73,67.19,Report,51.0% (95% CI 34.7-67.2%),50.96,34.73,67.19,51.0% (95% CI 34.7-67.2%),42.93,20,96.84,9.1,45.88,8.03
Gombe,north east,facility_delivery,Health facility delivery,391,173,47.16,5.33,36.72,57.61,Report,47.2% (95% CI 36.7-57.6%),47.16,36.72,57.61,47.2% (95% CI 36.7-57.6%),42.93,21,96.84,9.1,49.68,4.23
Bayelsa,south south,facility_delivery,Health facility delivery,171,71,46.61,7.71,31.5,61.73,Report,46.6% (95% CI 31.5-61.7%),46.61,31.5,61.73,46.6% (95% CI 31.5-61.7%),42.93,22,96.84,9.1,50.23,3.68
Plateau,north central,facility_delivery,Health facility delivery,334,144,45.71,5.58,34.78,56.64,Report,45.7% (95% CI 34.8-56.6%),45.71,34.78,56.64,45.7% (95% CI 34.8-56.6%),42.93,23,96.84,9.1,51.13,2.78
Borno,north east,facility_delivery,Health facility delivery,347,143,43.71,5.14,33.63,53.78,Report,43.7% (95% CI 33.6-53.8%),43.71,33.63,53.78,43.7% (95% CI 33.6-53.8%),42.93,24,96.84,9.1,53.13,0.78
Akwa Ibom,south south,facility_delivery,Health facility delivery,136,60,42.52,4.84,33.03,52.01,Report,42.5% (95% CI 33.0-52.0%),42.52,33.03,52.01,42.5% (95% CI 33.0-52.0%),42.93,25,96.84,9.1,54.32,-0.41
Adamawa,north east,facility_delivery,Health facility delivery,351,133,40.38,5.2,30.19,50.58,Report,40.4% (95% CI 30.2-50.6%),40.38,30.19,50.58,40.4% (95% CI 30.2-50.6%),42.93,26,96.84,9.1,56.46,-2.55
Taraba,north east,facility_delivery,Health facility delivery,268,83,32.81,5.65,21.73,43.88,Report,32.8% (95% CI 21.7-43.9%),32.81,21.73,43.88,32.8% (95% CI 21.7-43.9%),42.93,27,96.84,9.1,64.03,-10.12
Kano,north west,facility_delivery,Health facility delivery,574,184,32.34,2.92,26.61,38.07,Report,32.3% (95% CI 26.6-38.1%),32.34,26.61,38.07,32.3% (95% CI 26.6-38.1%),42.93,28,96.84,9.1,64.5,-10.59
Yobe,north east,facility_delivery,Health facility delivery,456,135,31.65,3.24,25.3,38,Report,31.6% (95% CI 25.3-38.0%),31.65,25.3,38,31.6% (95% CI 25.3-38.0%),42.93,29,96.84,9.1,65.19,-11.28
Bauchi,north east,facility_delivery,Health facility delivery,456,133,30.49,3.2,24.21,36.76,Report,30.5% (95% CI 24.2-36.8%),30.49,24.21,36.76,30.5% (95% CI 24.2-36.8%),42.93,30,96.84,9.1,66.35,-12.44
Niger,north central,facility_delivery,Health facility delivery,368,119,30.2,4.17,22.04,38.37,Report,30.2% (95% CI 22.0-38.4%),30.2,22.04,38.37,30.2% (95% CI 22.0-38.4%),42.93,31,96.84,9.1,66.64,-12.73
Kaduna,north west,facility_delivery,Health facility delivery,502,129,25.09,4.39,16.48,33.7,Report,25.1% (95% CI 16.5-33.7%),25.09,16.48,33.7,25.1% (95% CI 16.5-33.7%),42.93,32,96.84,9.1,71.75,-17.84
Jigawa,north west,facility_delivery,Health facility delivery,523,108,20.85,2.41,16.12,25.58,Report,20.9% (95% CI 16.1-25.6%),20.85,16.12,25.58,20.9% (95% CI 16.1-25.6%),42.93,33,96.84,9.1,75.99,-22.08
Katsina,north west,facility_delivery,Health facility delivery,420,69,15.33,2.28,10.87,19.8,Report,15.3% (95% CI 10.9-19.8%),15.33,10.87,19.8,15.3% (95% CI 10.9-19.8%),42.93,34,96.84,9.1,81.51,-27.6
Zamfara,north west,facility_delivery,Health facility delivery,292,44,14.58,3.88,6.97,22.19,Report,14.6% (95% CI 7.0-22.2%),14.58,6.97,22.19,14.6% (95% CI 7.0-22.2%),42.93,35,96.84,9.1,82.26,-28.35
Sokoto,north west,facility_delivery,Health facility delivery,441,55,12.44,3.05,6.46,18.43,Report,12.4% (95% CI 6.5-18.4%),12.44,6.46,18.43,12.4% (95% CI 6.5-18.4%),42.93,36,96.84,9.1,84.4,-30.49
Kebbi,north west,facility_delivery,Health facility delivery,504,55,9.1,1.46,6.24,11.96,Report,9.1% (95% CI 6.2-12.0%),9.1,6.24,11.96,9.1% (95% CI 6.2-12.0%),42.93,37,96.84,9.1,87.74,-33.83
Lagos,south west,mother_pnc_2days,Maternal PNC within 2 days,177,152,87.32,2.58,82.25,92.38,Report,87.3% (95% CI 82.2-92.4%),87.32,82.25,92.38,87.3% (95% CI 82.2-92.4%),42.87,1,87.32,11.32,0,44.45
Edo,south south,mother_pnc_2days,Maternal PNC within 2 days,158,135,86.14,3.2,79.87,92.41,Report,86.1% (95% CI 79.9-92.4%),86.14,79.87,92.41,86.1% (95% CI 79.9-92.4%),42.87,2,87.32,11.32,1.18,43.27
Federal Capital Territory,north central,mother_pnc_2days,Maternal PNC within 2 days,167,136,82.27,4.58,73.3,91.24,Report,82.3% (95% CI 73.3-91.2%),82.27,73.3,91.24,82.3% (95% CI 73.3-91.2%),42.87,3,87.32,11.32,5.05,39.4
Ogun,south west,mother_pnc_2days,Maternal PNC within 2 days,206,167,81.03,3.46,74.25,87.81,Report,81.0% (95% CI 74.2-87.8%),81.03,74.25,87.81,81.0% (95% CI 74.2-87.8%),42.87,4,87.32,11.32,6.29,38.16
Ekiti,south west,mother_pnc_2days,Maternal PNC within 2 days,111,83,77.48,3.75,70.14,84.82,Report,77.5% (95% CI 70.1-84.8%),77.48,70.14,84.82,77.5% (95% CI 70.1-84.8%),42.87,5,87.32,11.32,9.84,34.61
Delta,south south,mother_pnc_2days,Maternal PNC within 2 days,205,151,77.25,4.7,68.05,86.45,Report,77.2% (95% CI 68.0-86.5%),77.25,68.05,86.45,77.2% (95% CI 68.0-86.5%),42.87,6,87.32,11.32,10.07,34.38
Ondo,south west,mother_pnc_2days,Maternal PNC within 2 days,134,96,75.87,4.82,66.44,85.31,Report,75.9% (95% CI 66.4-85.3%),75.87,66.44,85.31,75.9% (95% CI 66.4-85.3%),42.87,7,87.32,11.32,11.45,33
Osun,south west,mother_pnc_2days,Maternal PNC within 2 days,149,115,75.28,3.53,68.37,82.2,Report,75.3% (95% CI 68.4-82.2%),75.28,68.37,82.2,75.3% (95% CI 68.4-82.2%),42.87,8,87.32,11.32,12.04,32.41
Cross River,south south,mother_pnc_2days,Maternal PNC within 2 days,148,110,74.64,5.16,64.53,84.75,Report,74.6% (95% CI 64.5-84.8%),74.64,64.53,84.75,74.6% (95% CI 64.5-84.8%),42.87,9,87.32,11.32,12.68,31.77
Anambra,south east,mother_pnc_2days,Maternal PNC within 2 days,213,153,73.17,3.19,66.9,79.43,Report,73.2% (95% CI 66.9-79.4%),73.17,66.9,79.43,73.2% (95% CI 66.9-79.4%),42.87,10,87.32,11.32,14.15,30.3
Nasarawa,north central,mother_pnc_2days,Maternal PNC within 2 days,294,195,68.39,4.05,60.46,76.33,Report,68.4% (95% CI 60.5-76.3%),68.39,60.46,76.33,68.4% (95% CI 60.5-76.3%),42.87,11,87.32,11.32,18.93,25.52
Oyo,south west,mother_pnc_2days,Maternal PNC within 2 days,215,151,68.32,4.79,58.94,77.71,Report,68.3% (95% CI 58.9-77.7%),68.32,58.94,77.71,68.3% (95% CI 58.9-77.7%),42.87,12,87.32,11.32,19,25.45
Abia,south east,mother_pnc_2days,Maternal PNC within 2 days,154,102,66.4,2.97,60.57,72.23,Report,66.4% (95% CI 60.6-72.2%),66.4,60.57,72.23,66.4% (95% CI 60.6-72.2%),42.87,13,87.32,11.32,20.92,23.53
Enugu,south east,mother_pnc_2days,Maternal PNC within 2 days,156,106,65.79,5.6,54.82,76.76,Report,65.8% (95% CI 54.8-76.8%),65.79,54.82,76.76,65.8% (95% CI 54.8-76.8%),42.87,14,87.32,11.32,21.53,22.92
Imo,south east,mother_pnc_2days,Maternal PNC within 2 days,238,146,61.67,4.42,53.01,70.33,Report,61.7% (95% CI 53.0-70.3%),61.67,53.01,70.33,61.7% (95% CI 53.0-70.3%),42.87,15,87.32,11.32,25.65,18.8
Akwa Ibom,south south,mother_pnc_2days,Maternal PNC within 2 days,149,89,60.42,4.27,52.05,68.78,Report,60.4% (95% CI 52.0-68.8%),60.42,52.05,68.78,60.4% (95% CI 52.0-68.8%),42.87,16,87.32,11.32,26.9,17.55
Kwara,north central,mother_pnc_2days,Maternal PNC within 2 days,227,127,56.95,5.65,45.89,68.02,Report,57.0% (95% CI 45.9-68.0%),56.95,45.89,68.02,57.0% (95% CI 45.9-68.0%),42.87,17,87.32,11.32,30.37,14.08
Plateau,north central,mother_pnc_2days,Maternal PNC within 2 days,336,180,56.32,4.41,47.69,64.96,Report,56.3% (95% CI 47.7-65.0%),56.32,47.69,64.96,56.3% (95% CI 47.7-65.0%),42.87,18,87.32,11.32,31,13.45
Benue,north central,mother_pnc_2days,Maternal PNC within 2 days,218,115,56.18,4.29,47.77,64.59,Report,56.2% (95% CI 47.8-64.6%),56.18,47.77,64.59,56.2% (95% CI 47.8-64.6%),42.87,19,87.32,11.32,31.14,13.31
Kogi,north central,mother_pnc_2days,Maternal PNC within 2 days,270,154,56.17,4.91,46.56,65.79,Report,56.2% (95% CI 46.6-65.8%),56.17,46.56,65.79,56.2% (95% CI 46.6-65.8%),42.87,20,87.32,11.32,31.15,13.3
Ebonyi,south east,mother_pnc_2days,Maternal PNC within 2 days,332,187,55.93,3.22,49.62,62.24,Report,55.9% (95% CI 49.6-62.2%),55.93,49.62,62.24,55.9% (95% CI 49.6-62.2%),42.87,21,87.32,11.32,31.39,13.06
Rivers,south south,mother_pnc_2days,Maternal PNC within 2 days,196,109,54.34,4.37,45.78,62.89,Report,54.3% (95% CI 45.8-62.9%),54.34,45.78,62.89,54.3% (95% CI 45.8-62.9%),42.87,22,87.32,11.32,32.98,11.47
Adamawa,north east,mother_pnc_2days,Maternal PNC within 2 days,351,170,50.85,3.97,43.07,58.64,Report,50.9% (95% CI 43.1-58.6%),50.85,43.07,58.64,50.9% (95% CI 43.1-58.6%),42.87,23,87.32,11.32,36.47,7.98
Borno,north east,mother_pnc_2days,Maternal PNC within 2 days,347,153,47.47,4.02,39.59,55.36,Report,47.5% (95% CI 39.6-55.4%),47.47,39.59,55.36,47.5% (95% CI 39.6-55.4%),42.87,24,87.32,11.32,39.85,4.6
Gombe,north east,mother_pnc_2days,Maternal PNC within 2 days,391,164,44.92,4.69,35.72,54.12,Report,44.9% (95% CI 35.7-54.1%),44.92,35.72,54.12,44.9% (95% CI 35.7-54.1%),42.87,25,87.32,11.32,42.4,2.05
Jigawa,north west,mother_pnc_2days,Maternal PNC within 2 days,523,228,43.86,2.27,39.42,48.3,Report,43.9% (95% CI 39.4-48.3%),43.86,39.42,48.3,43.9% (95% CI 39.4-48.3%),42.87,26,87.32,11.32,43.46,0.99
Bayelsa,south south,mother_pnc_2days,Maternal PNC within 2 days,171,65,43.44,6.54,30.63,56.26,Report,43.4% (95% CI 30.6-56.3%),43.44,30.63,56.26,43.4% (95% CI 30.6-56.3%),42.87,27,87.32,11.32,43.88,0.57
Taraba,north east,mother_pnc_2days,Maternal PNC within 2 days,268,79,34.41,4.01,26.56,42.27,Report,34.4% (95% CI 26.6-42.3%),34.41,26.56,42.27,34.4% (95% CI 26.6-42.3%),42.87,28,87.32,11.32,52.91,-8.46
Yobe,north east,mother_pnc_2days,Maternal PNC within 2 days,458,154,33.89,4.3,25.47,42.32,Report,33.9% (95% CI 25.5-42.3%),33.89,25.47,42.32,33.9% (95% CI 25.5-42.3%),42.87,29,87.32,11.32,53.43,-8.98
Kano,north west,mother_pnc_2days,Maternal PNC within 2 days,575,184,32.84,2.98,27,38.68,Report,32.8% (95% CI 27.0-38.7%),32.84,27,38.68,32.8% (95% CI 27.0-38.7%),42.87,30,87.32,11.32,54.48,-10.03
Niger,north central,mother_pnc_2days,Maternal PNC within 2 days,368,128,32.58,3.43,25.85,39.31,Report,32.6% (95% CI 25.9-39.3%),32.58,25.85,39.31,32.6% (95% CI 25.9-39.3%),42.87,31,87.32,11.32,54.74,-10.29
Bauchi,north east,mother_pnc_2days,Maternal PNC within 2 days,456,93,23.95,3.33,17.42,30.47,Report,23.9% (95% CI 17.4-30.5%),23.95,17.42,30.47,23.9% (95% CI 17.4-30.5%),42.87,32,87.32,11.32,63.37,-18.92
Kaduna,north west,mother_pnc_2days,Maternal PNC within 2 days,504,119,22.62,3.79,15.2,30.04,Report,22.6% (95% CI 15.2-30.0%),22.62,15.2,30.04,22.6% (95% CI 15.2-30.0%),42.87,33,87.32,11.32,64.7,-20.25
Katsina,north west,mother_pnc_2days,Maternal PNC within 2 days,420,84,19.39,2.27,14.93,23.84,Report,19.4% (95% CI 14.9-23.8%),19.39,14.93,23.84,19.4% (95% CI 14.9-23.8%),42.87,34,87.32,11.32,67.93,-23.48
Zamfara,north west,mother_pnc_2days,Maternal PNC within 2 days,292,53,18.08,3.44,11.33,24.83,Report,18.1% (95% CI 11.3-24.8%),18.08,11.33,24.83,18.1% (95% CI 11.3-24.8%),42.87,35,87.32,11.32,69.24,-24.79
Sokoto,north west,mother_pnc_2days,Maternal PNC within 2 days,441,51,11.57,2.85,5.98,17.17,Report,11.6% (95% CI 6.0-17.2%),11.57,5.98,17.17,11.6% (95% CI 6.0-17.2%),42.87,36,87.32,11.32,75.75,-31.3
Kebbi,north west,mother_pnc_2days,Maternal PNC within 2 days,504,63,11.32,1.94,7.52,15.12,Report,11.3% (95% CI 7.5-15.1%),11.32,7.52,15.12,11.3% (95% CI 7.5-15.1%),42.87,37,87.32,11.32,76,-31.55
Lagos,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,177,144,83.21,3.11,77.11,89.3,Report,83.2% (95% CI 77.1-89.3%),83.21,77.11,89.3,83.2% (95% CI 77.1-89.3%),38.14,1,83.21,9.68,0,45.07
Edo,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,158,127,80.65,4,72.82,88.49,Report,80.7% (95% CI 72.8-88.5%),80.65,72.82,88.49,80.7% (95% CI 72.8-88.5%),38.14,2,83.21,9.68,2.56,42.51
Federal Capital Territory,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,167,134,80.29,4.49,71.49,89.08,Report,80.3% (95% CI 71.5-89.1%),80.29,71.49,89.08,80.3% (95% CI 71.5-89.1%),38.14,3,83.21,9.68,2.92,42.15
Ogun,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,206,160,76.92,3.97,69.15,84.7,Report,76.9% (95% CI 69.2-84.7%),76.92,69.15,84.7,76.9% (95% CI 69.2-84.7%),38.14,4,83.21,9.68,6.29,38.78
Cross River,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,148,106,72.88,5.31,62.46,83.3,Report,72.9% (95% CI 62.5-83.3%),72.88,62.46,83.3,72.9% (95% CI 62.5-83.3%),38.14,5,83.21,9.68,10.33,34.74
Ekiti,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,111,79,71.63,4.05,63.69,79.56,Report,71.6% (95% CI 63.7-79.6%),71.63,63.69,79.56,71.6% (95% CI 63.7-79.6%),38.14,6,83.21,9.68,11.58,33.49
Osun,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,149,107,70.33,3.59,63.3,77.37,Report,70.3% (95% CI 63.3-77.4%),70.33,63.3,77.37,70.3% (95% CI 63.3-77.4%),38.14,7,83.21,9.68,12.88,32.19
Ondo,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,134,88,70.09,5.17,59.95,80.22,Report,70.1% (95% CI 60.0-80.2%),70.09,59.95,80.22,70.1% (95% CI 60.0-80.2%),38.14,8,83.21,9.68,13.12,31.95
Delta,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,205,138,69.9,4.34,61.39,78.41,Report,69.9% (95% CI 61.4-78.4%),69.9,61.39,78.41,69.9% (95% CI 61.4-78.4%),38.14,9,83.21,9.68,13.31,31.76
Anambra,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,213,147,69.45,3.31,62.96,75.93,Report,69.5% (95% CI 63.0-75.9%),69.45,62.96,75.93,69.5% (95% CI 63.0-75.9%),38.14,10,83.21,9.68,13.76,31.31
Oyo,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,215,146,65.58,4.87,56.03,75.13,Report,65.6% (95% CI 56.0-75.1%),65.58,56.03,75.13,65.6% (95% CI 56.0-75.1%),38.14,11,83.21,9.68,17.63,27.44
Nasarawa,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,294,177,62.1,3.76,54.74,69.47,Report,62.1% (95% CI 54.7-69.5%),62.1,54.74,69.47,62.1% (95% CI 54.7-69.5%),38.14,12,83.21,9.68,21.11,23.96
Abia,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,154,95,60.69,3.43,53.96,67.41,Report,60.7% (95% CI 54.0-67.4%),60.69,53.96,67.41,60.7% (95% CI 54.0-67.4%),38.14,13,83.21,9.68,22.52,22.55
Enugu,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,156,96,59.46,5.96,47.78,71.15,Report,59.5% (95% CI 47.8-71.2%),59.46,47.78,71.15,59.5% (95% CI 47.8-71.2%),38.14,14,83.21,9.68,23.75,21.32
Imo,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,238,133,55.92,4.59,46.92,64.93,Report,55.9% (95% CI 46.9-64.9%),55.92,46.92,64.93,55.9% (95% CI 46.9-64.9%),38.14,15,83.21,9.68,27.29,17.78
Akwa Ibom,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,149,80,55.1,4.34,46.6,63.61,Report,55.1% (95% CI 46.6-63.6%),55.1,46.6,63.61,55.1% (95% CI 46.6-63.6%),38.14,16,83.21,9.68,28.11,16.96
Ebonyi,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,332,181,54,3.08,47.96,60.04,Report,54.0% (95% CI 48.0-60.0%),54,47.96,60.04,54.0% (95% CI 48.0-60.0%),38.14,17,83.21,9.68,29.21,15.86
Kwara,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,227,120,53.47,5.41,42.86,64.08,Report,53.5% (95% CI 42.9-64.1%),53.47,42.86,64.08,53.5% (95% CI 42.9-64.1%),38.14,18,83.21,9.68,29.74,15.33
Plateau,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,336,169,52.64,4.37,44.06,61.21,Report,52.6% (95% CI 44.1-61.2%),52.64,44.06,61.21,52.6% (95% CI 44.1-61.2%),38.14,19,83.21,9.68,30.57,14.5
Kogi,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,270,143,51.08,4.74,41.8,60.37,Report,51.1% (95% CI 41.8-60.4%),51.08,41.8,60.37,51.1% (95% CI 41.8-60.4%),38.14,20,83.21,9.68,32.13,12.94
Benue,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,218,104,50.96,3.75,43.61,58.3,Report,51.0% (95% CI 43.6-58.3%),50.96,43.61,58.3,51.0% (95% CI 43.6-58.3%),38.14,21,83.21,9.68,32.25,12.82
Rivers,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,196,99,50.04,4.15,41.9,58.18,Report,50.0% (95% CI 41.9-58.2%),50.04,41.9,58.18,50.0% (95% CI 41.9-58.2%),38.14,22,83.21,9.68,33.17,11.9
Adamawa,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,351,156,46.31,4.04,38.4,54.22,Report,46.3% (95% CI 38.4-54.2%),46.31,38.4,54.22,46.3% (95% CI 38.4-54.2%),38.14,23,83.21,9.68,36.9,8.17
Gombe,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,391,155,42.21,4.79,32.83,51.59,Report,42.2% (95% CI 32.8-51.6%),42.21,32.83,51.59,42.2% (95% CI 32.8-51.6%),38.14,24,83.21,9.68,41,4.07
Borno,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,347,132,41.5,3.69,34.27,48.72,Report,41.5% (95% CI 34.3-48.7%),41.5,34.27,48.72,41.5% (95% CI 34.3-48.7%),38.14,25,83.21,9.68,41.71,3.36
Jigawa,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,523,207,38.48,2.62,33.34,43.62,Report,38.5% (95% CI 33.3-43.6%),38.48,33.34,43.62,38.5% (95% CI 33.3-43.6%),38.14,26,83.21,9.68,44.73,0.34
Bayelsa,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,171,52,34.76,5.02,24.92,44.61,Report,34.8% (95% CI 24.9-44.6%),34.76,24.92,44.61,34.8% (95% CI 24.9-44.6%),38.14,27,83.21,9.68,48.45,-3.38
Taraba,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,268,72,30.82,3.77,23.44,38.2,Report,30.8% (95% CI 23.4-38.2%),30.82,23.44,38.2,30.8% (95% CI 23.4-38.2%),38.14,28,83.21,9.68,52.39,-7.32
Niger,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,368,120,30.54,3.25,24.18,36.91,Report,30.5% (95% CI 24.2-36.9%),30.54,24.18,36.91,30.5% (95% CI 24.2-36.9%),38.14,29,83.21,9.68,52.67,-7.6
Yobe,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,458,134,29.06,4.78,19.7,38.42,Report,29.1% (95% CI 19.7-38.4%),29.06,19.7,38.42,29.1% (95% CI 19.7-38.4%),38.14,30,83.21,9.68,54.15,-9.08
Kano,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,575,141,25.3,2.84,19.74,30.86,Report,25.3% (95% CI 19.7-30.9%),25.3,19.74,30.86,25.3% (95% CI 19.7-30.9%),38.14,31,83.21,9.68,57.91,-12.84
Kaduna,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,504,107,19.75,3.43,13.03,26.46,Report,19.8% (95% CI 13.0-26.5%),19.75,13.03,26.46,19.8% (95% CI 13.0-26.5%),38.14,32,83.21,9.68,63.46,-18.39
Bauchi,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,456,75,18.18,3.01,12.29,24.08,Report,18.2% (95% CI 12.3-24.1%),18.18,12.29,24.08,18.2% (95% CI 12.3-24.1%),38.14,33,83.21,9.68,65.03,-19.96
Katsina,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,420,57,13.03,1.82,9.46,16.59,Report,13.0% (95% CI 9.5-16.6%),13.03,9.46,16.59,13.0% (95% CI 9.5-16.6%),38.14,34,83.21,9.68,70.18,-25.11
Zamfara,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,292,36,10.97,2.13,6.8,15.14,Report,11.0% (95% CI 6.8-15.1%),10.97,6.8,15.14,11.0% (95% CI 6.8-15.1%),38.14,35,83.21,9.68,72.24,-27.17
