state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Kaduna,north west,complete_continuum,Complete continuum,504,89,16.82,2.87,11.19,22.45,Report,16.8% (95% CI 11.2-22.4%),16.82,11.19,22.45,16.8% (95% CI 11.2-22.4%),24.52,26,72.69,3.28,55.87,-7.7
Yobe,north east,complete_continuum,Complete continuum,458,70,15.68,3.52,8.78,22.58,Report,15.7% (95% CI 8.8-22.6%),15.68,8.78,22.58,15.7% (95% CI 8.8-22.6%),24.52,27,72.69,3.28,57.01,-8.84
Niger,north central,complete_continuum,Complete continuum,368,64,15.08,3.3,8.62,21.54,Report,15.1% (95% CI 8.6-21.5%),15.08,8.62,21.54,15.1% (95% CI 8.6-21.5%),24.52,28,72.69,3.28,57.61,-9.44
Kano,north west,complete_continuum,Complete continuum,566,79,13.96,1.95,10.14,17.78,Report,14.0% (95% CI 10.1-17.8%),13.96,10.14,17.78,14.0% (95% CI 10.1-17.8%),24.52,29,72.69,3.28,58.73,-10.56
Taraba,north east,complete_continuum,Complete continuum,268,31,13.77,3.35,7.2,20.33,Report,13.8% (95% CI 7.2-20.3%),13.77,7.2,20.33,13.8% (95% CI 7.2-20.3%),24.52,30,72.69,3.28,58.92,-10.75
Adamawa,north east,complete_continuum,Complete continuum,350,33,11.75,3.1,5.67,17.83,Report,11.8% (95% CI 5.7-17.8%),11.75,5.67,17.83,11.8% (95% CI 5.7-17.8%),24.52,31,72.69,3.28,60.94,-12.77
Bauchi,north east,complete_continuum,Complete continuum,454,43,10.08,2.46,5.26,14.9,Report,10.1% (95% CI 5.3-14.9%),10.08,5.26,14.9,10.1% (95% CI 5.3-14.9%),24.52,32,72.69,3.28,62.61,-14.44
Jigawa,north west,complete_continuum,Complete continuum,523,44,8.84,1.81,5.3,12.38,Report,8.8% (95% CI 5.3-12.4%),8.84,5.3,12.38,8.8% (95% CI 5.3-12.4%),24.52,33,72.69,3.28,63.85,-15.68
Zamfara,north west,complete_continuum,Complete continuum,292,20,6.4,2.03,2.42,10.37,Report,6.4% (95% CI 2.4-10.4%),6.4,2.42,10.37,6.4% (95% CI 2.4-10.4%),24.52,34,72.69,3.28,66.29,-18.12
Sokoto,north west,complete_continuum,Complete continuum,441,28,6.17,2.05,2.16,10.18,Report,6.2% (95% CI 2.2-10.2%),6.17,2.16,10.18,6.2% (95% CI 2.2-10.2%),24.52,35,72.69,3.28,66.52,-18.35
Katsina,north west,complete_continuum,Complete continuum,419,24,5.78,1.26,3.32,8.25,Report,5.8% (95% CI 3.3-8.2%),5.78,3.32,8.25,5.8% (95% CI 3.3-8.2%),24.52,36,72.69,3.28,66.91,-18.74
Kebbi,north west,complete_continuum,Complete continuum,504,23,3.28,0.82,1.68,4.88,Report,3.3% (95% CI 1.7-4.9%),3.28,1.68,4.88,3.3% (95% CI 1.7-4.9%),24.52,37,72.69,3.28,69.41,-21.24
Lagos,south west,anc_8plus,Eight or more ANC contacts,175,155,87.57,3.57,80.57,94.57,Report,87.6% (95% CI 80.6-94.6%),87.57,80.57,94.57,87.6% (95% CI 80.6-94.6%),16.78,1,87.57,0,0,70.79
Ogun,south west,anc_8plus,Eight or more ANC contacts,168,141,82.49,3.34,75.93,89.04,Report,82.5% (95% CI 75.9-89.0%),82.49,75.93,89.04,82.5% (95% CI 75.9-89.0%),16.78,2,87.57,0,5.08,65.71
Osun,south west,anc_8plus,Eight or more ANC contacts,148,102,72.19,5.13,62.13,82.25,Report,72.2% (95% CI 62.1-82.2%),72.19,62.13,82.25,72.2% (95% CI 62.1-82.2%),16.78,3,87.57,0,15.38,55.41
Delta,south south,anc_8plus,Eight or more ANC contacts,154,82,57.85,5.31,47.45,68.26,Report,57.9% (95% CI 47.5-68.3%),57.85,47.45,68.26,57.9% (95% CI 47.5-68.3%),16.78,4,87.57,0,29.72,41.07
Anambra,south east,anc_8plus,Eight or more ANC contacts,213,118,54.92,5.25,44.63,65.21,Report,54.9% (95% CI 44.6-65.2%),54.92,44.63,65.21,54.9% (95% CI 44.6-65.2%),16.78,5,87.57,0,32.65,38.14
Rivers,south south,anc_8plus,Eight or more ANC contacts,196,100,49.74,4.52,40.88,58.6,Report,49.7% (95% CI 40.9-58.6%),49.74,40.88,58.6,49.7% (95% CI 40.9-58.6%),16.78,6,87.57,0,37.83,32.96
Oyo,south west,anc_8plus,Eight or more ANC contacts,197,99,49.36,3.73,42.05,56.67,Report,49.4% (95% CI 42.0-56.7%),49.36,42.05,56.67,49.4% (95% CI 42.0-56.7%),16.78,7,87.57,0,38.21,32.58
Imo,south east,anc_8plus,Eight or more ANC contacts,230,113,49.17,2.71,43.86,54.47,Report,49.2% (95% CI 43.9-54.5%),49.17,43.86,54.47,49.2% (95% CI 43.9-54.5%),16.78,8,87.57,0,38.4,32.39
Abia,south east,anc_8plus,Eight or more ANC contacts,145,67,48.97,6.14,36.94,60.99,Report,49.0% (95% CI 36.9-61.0%),48.97,36.94,60.99,49.0% (95% CI 36.9-61.0%),16.78,9,87.57,0,38.6,32.19
Cross River,south south,anc_8plus,Eight or more ANC contacts,148,68,44.29,5.89,32.74,55.84,Report,44.3% (95% CI 32.7-55.8%),44.29,32.74,55.84,44.3% (95% CI 32.7-55.8%),16.78,10,87.57,0,43.28,27.51
Edo,south south,anc_8plus,Eight or more ANC contacts,119,52,42.29,5.45,31.61,52.98,Report,42.3% (95% CI 31.6-53.0%),42.29,31.61,52.98,42.3% (95% CI 31.6-53.0%),16.78,11,87.57,0,45.28,25.51
Enugu,south east,anc_8plus,Eight or more ANC contacts,123,45,37.75,4.1,29.71,45.79,Report,37.8% (95% CI 29.7-45.8%),37.75,29.71,45.79,37.8% (95% CI 29.7-45.8%),16.78,12,87.57,0,49.82,20.97
Ekiti,south west,anc_8plus,Eight or more ANC contacts,87,30,37.12,6.36,24.64,49.59,Report,37.1% (95% CI 24.6-49.6%),37.12,24.64,49.59,37.1% (95% CI 24.6-49.6%),16.78,13,87.57,0,50.45,20.34
Ondo,south west,anc_8plus,Eight or more ANC contacts,125,41,35.47,6.18,23.35,47.6,Report,35.5% (95% CI 23.4-47.6%),35.47,23.35,47.6,35.5% (95% CI 23.4-47.6%),16.78,14,87.57,0,52.1,18.69
Bayelsa,south south,anc_8plus,Eight or more ANC contacts,147,38,32.59,5.46,21.89,43.29,Report,32.6% (95% CI 21.9-43.3%),32.59,21.89,43.29,32.6% (95% CI 21.9-43.3%),16.78,15,87.57,0,54.98,15.81
Federal Capital Territory,north central,anc_8plus,Eight or more ANC contacts,161,50,30.41,4.69,21.22,39.6,Report,30.4% (95% CI 21.2-39.6%),30.41,21.22,39.6,30.4% (95% CI 21.2-39.6%),16.78,16,87.57,0,57.16,13.63
Kwara,north central,anc_8plus,Eight or more ANC contacts,226,63,29.42,5.1,19.43,39.41,Report,29.4% (95% CI 19.4-39.4%),29.42,19.43,39.41,29.4% (95% CI 19.4-39.4%),16.78,17,87.57,0,58.15,12.64
Akwa Ibom,south south,anc_8plus,Eight or more ANC contacts,148,30,18.97,4.1,10.94,27.01,Report,19.0% (95% CI 10.9-27.0%),18.97,10.94,27.01,19.0% (95% CI 10.9-27.0%),16.78,18,87.57,0,68.6,2.19
Kogi,north central,anc_8plus,Eight or more ANC contacts,269,37,14.12,3.08,8.08,20.15,Report,14.1% (95% CI 8.1-20.1%),14.12,8.08,20.15,14.1% (95% CI 8.1-20.1%),16.78,19,87.57,0,73.45,-2.66
Kaduna,north west,anc_8plus,Eight or more ANC contacts,504,62,12.97,2.08,8.89,17.04,Report,13.0% (95% CI 8.9-17.0%),12.97,8.89,17.04,13.0% (95% CI 8.9-17.0%),16.78,20,87.57,0,74.6,-3.81
Ebonyi,south east,anc_8plus,Eight or more ANC contacts,332,43,12.87,1.69,9.54,16.19,Report,12.9% (95% CI 9.5-16.2%),12.87,9.54,16.19,12.9% (95% CI 9.5-16.2%),16.78,21,87.57,0,74.7,-3.91
Nasarawa,north central,anc_8plus,Eight or more ANC contacts,294,28,10.19,1.77,6.72,13.66,Report,10.2% (95% CI 6.7-13.7%),10.19,6.72,13.66,10.2% (95% CI 6.7-13.7%),16.78,22,87.57,0,77.38,-6.59
