equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
zone,Zone,south west,skilled_birth,Skilled birth attendance,992,830,84.71,2.16,80.46,88.95,Report,84.7% (95% CI 80.5-89.0%)
zone,Zone,south west,facility_delivery,Health facility delivery,979,807,83.35,1.89,79.64,87.05,Report,83.3% (95% CI 79.6-87.0%)
zone,Zone,south west,mother_pnc_2days,Maternal PNC within 2 days,992,764,78.51,1.73,75.12,81.9,Report,78.5% (95% CI 75.1-81.9%)
zone,Zone,south west,newborn_pnc_2days,Newborn PNC within 2 days,992,777,79.13,1.7,75.79,82.46,Report,79.1% (95% CI 75.8-82.5%)
zone,Zone,south west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,992,724,74.37,1.88,70.68,78.05,Report,74.4% (95% CI 70.7-78.0%)
zone,Zone,south west,complete_continuum,Complete continuum,900,555,63.6,2.23,59.23,67.97,Report,63.6% (95% CI 59.2-68.0%)
residence,Residence,rural,anc_4plus,Four or more ANC contacts,6428,2702,41.83,1.25,39.38,44.28,Report,41.8% (95% CI 39.4-44.3%)
residence,Residence,rural,anc_8plus,Eight or more ANC contacts,6428,582,8.26,0.55,7.18,9.34,Report,8.3% (95% CI 7.2-9.3%)
residence,Residence,rural,skilled_birth,Skilled birth attendance,6510,2149,30.03,1.13,27.83,32.24,Report,30.0% (95% CI 27.8-32.2%)
residence,Residence,rural,facility_delivery,Health facility delivery,6478,2089,28.74,1.1,26.58,30.9,Report,28.7% (95% CI 26.6-30.9%)
residence,Residence,rural,mother_pnc_2days,Maternal PNC within 2 days,6510,2164,30.33,0.95,28.47,32.19,Report,30.3% (95% CI 28.5-32.2%)
residence,Residence,rural,newborn_pnc_2days,Newborn PNC within 2 days,6510,2214,30.18,0.95,28.31,32.04,Report,30.2% (95% CI 28.3-32.0%)
residence,Residence,rural,paired_pnc_2days,Mother and newborn both received PNC within 2 days,6510,1956,26.45,0.9,24.68,28.21,Report,26.4% (95% CI 24.7-28.2%)
residence,Residence,rural,complete_continuum,Complete continuum,6428,987,13.34,0.65,12.06,14.62,Report,13.3% (95% CI 12.1-14.6%)
residence,Residence,urban,anc_4plus,Four or more ANC contacts,3808,2823,73.54,1.23,71.13,75.96,Report,73.5% (95% CI 71.1-76.0%)
residence,Residence,urban,anc_8plus,Eight or more ANC contacts,3808,1209,31.13,1.15,28.87,33.38,Report,31.1% (95% CI 28.9-33.4%)
residence,Residence,urban,skilled_birth,Skilled birth attendance,4012,2879,69.67,1.46,66.82,72.52,Report,69.7% (95% CI 66.8-72.5%)
