equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
age_group,Age group,35-39,complete_continuum,Complete continuum,1410,405,27.37,1.42,24.59,30.14,Report,27.4% (95% CI 24.6-30.1%)
age_group,Age group,40-44,anc_4plus,Four or more ANC contacts,632,319,50.22,2.54,45.24,55.2,Report,50.2% (95% CI 45.2-55.2%)
age_group,Age group,40-44,anc_8plus,Eight or more ANC contacts,632,108,15.59,1.57,12.52,18.66,Report,15.6% (95% CI 12.5-18.7%)
age_group,Age group,40-44,skilled_birth,Skilled birth attendance,649,289,40.81,2.45,36,45.61,Report,40.8% (95% CI 36.0-45.6%)
age_group,Age group,40-44,facility_delivery,Health facility delivery,645,282,38.92,2.49,34.04,43.8,Report,38.9% (95% CI 34.0-43.8%)
age_group,Age group,40-44,mother_pnc_2days,Maternal PNC within 2 days,649,260,36.69,2.44,31.91,41.46,Report,36.7% (95% CI 31.9-41.5%)
age_group,Age group,40-44,newborn_pnc_2days,Newborn PNC within 2 days,649,266,36.3,2.44,31.52,41.08,Report,36.3% (95% CI 31.5-41.1%)
age_group,Age group,40-44,paired_pnc_2days,Mother and newborn both received PNC within 2 days,649,239,32.7,2.37,28.05,37.36,Report,32.7% (95% CI 28.1-37.4%)
age_group,Age group,40-44,complete_continuum,Complete continuum,632,153,21.61,2.01,17.67,25.56,Report,21.6% (95% CI 17.7-25.6%)
age_group,Age group,45-49,anc_4plus,Four or more ANC contacts,143,60,42.27,4.46,33.53,51,Report,42.3% (95% CI 33.5-51.0%)
age_group,Age group,45-49,anc_8plus,Eight or more ANC contacts,143,15,10.07,2.84,4.51,15.63,Report,10.1% (95% CI 4.5-15.6%)
age_group,Age group,45-49,skilled_birth,Skilled birth attendance,146,57,33.44,4.28,25.05,41.84,Report,33.4% (95% CI 25.1-41.8%)
age_group,Age group,45-49,facility_delivery,Health facility delivery,146,54,30.66,4.14,22.55,38.78,Report,30.7% (95% CI 22.6-38.8%)
age_group,Age group,45-49,mother_pnc_2days,Maternal PNC within 2 days,146,56,30.21,4.38,21.63,38.8,Report,30.2% (95% CI 21.6-38.8%)
age_group,Age group,45-49,newborn_pnc_2days,Newborn PNC within 2 days,146,57,29.93,4.33,21.45,38.42,Report,29.9% (95% CI 21.4-38.4%)
age_group,Age group,45-49,paired_pnc_2days,Mother and newborn both received PNC within 2 days,146,53,27.55,4.06,19.6,35.5,Report,27.6% (95% CI 19.6-35.5%)
age_group,Age group,45-49,complete_continuum,Complete continuum,143,28,14.74,2.99,8.87,20.61,Report,14.7% (95% CI 8.9-20.6%)
