quality_check,result
Subgroup estimates available for ranking,192
Equity gap comparisons created,40
Negative absolute gaps,0
Relative ratios below one,0
Invalid relative shortfalls,0
Comparisons flagged for caution,0
Comparisons with insufficient groups,0
