equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,highest_percent,lowest_percent,rank_high_to_low,gap_to_best_pp,gap_above_lowest_pp
wealth_quintile,Wealth quintile,richest,complete_continuum,Complete continuum,1542,1032,65.79,1.53,62.79,68.79,Report,65.8% (95% CI 62.8-68.8%),65.79,62.79,68.79,65.8% (95% CI 62.8-68.8%),65.79,4.63,1,0,61.16
education,Education,higher,anc_4plus,Four or more ANC contacts,1061,959,90.62,1.02,88.62,92.63,Report,90.6% (95% CI 88.6-92.6%),90.62,88.62,92.63,90.6% (95% CI 88.6-92.6%),90.62,31.83,1,0,58.79
education,Education,higher,anc_8plus,Eight or more ANC contacts,1061,485,45.93,1.9,42.21,49.65,Report,45.9% (95% CI 42.2-49.6%),45.93,42.21,49.65,45.9% (95% CI 42.2-49.6%),45.93,3.24,1,0,42.69
education,Education,higher,skilled_birth,Skilled birth attendance,1143,1049,90.85,1.09,88.71,92.98,Report,90.8% (95% CI 88.7-93.0%),90.85,88.71,92.98,90.8% (95% CI 88.7-93.0%),90.85,18.05,1,0,72.8
education,Education,higher,facility_delivery,Health facility delivery,1137,1029,90.07,1.11,87.89,92.25,Report,90.1% (95% CI 87.9-92.2%),90.07,87.89,92.25,90.1% (95% CI 87.9-92.2%),90.07,17.95,1,0,72.12
education,Education,higher,mother_pnc_2days,Maternal PNC within 2 days,1143,958,82.86,1.41,80.1,85.62,Report,82.9% (95% CI 80.1-85.6%),82.86,80.1,85.62,82.9% (95% CI 80.1-85.6%),82.86,22.12,1,0,60.74
education,Education,higher,newborn_pnc_2days,Newborn PNC within 2 days,1143,936,80.96,1.41,78.2,83.73,Report,81.0% (95% CI 78.2-83.7%),80.96,78.2,83.73,81.0% (95% CI 78.2-83.7%),80.96,22.07,1,0,58.89
education,Education,higher,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1143,898,77.5,1.63,74.31,80.7,Report,77.5% (95% CI 74.3-80.7%),77.5,74.31,80.7,77.5% (95% CI 74.3-80.7%),77.5,18.54,1,0,58.96
education,Education,higher,complete_continuum,Complete continuum,1061,754,69.66,1.71,66.32,73.01,Report,69.7% (95% CI 66.3-73.0%),69.66,66.32,73.01,69.7% (95% CI 66.3-73.0%),69.66,6.45,1,0,63.21
education,Education,no education,anc_4plus,Four or more ANC contacts,4513,1360,31.83,1.32,29.25,34.41,Report,31.8% (95% CI 29.2-34.4%),31.83,29.25,34.41,31.8% (95% CI 29.2-34.4%),90.62,31.83,4,58.79,0
education,Education,no education,anc_8plus,Eight or more ANC contacts,4513,137,3.24,0.39,2.48,4,Report,3.2% (95% CI 2.5-4.0%),3.24,2.48,4,3.2% (95% CI 2.5-4.0%),45.93,3.24,4,42.69,0
education,Education,no education,skilled_birth,Skilled birth attendance,4534,833,18.05,0.93,16.22,19.87,Report,18.1% (95% CI 16.2-19.9%),18.05,16.22,19.87,18.1% (95% CI 16.2-19.9%),90.85,18.05,4,72.8,0
education,Education,no education,facility_delivery,Health facility delivery,4528,817,17.95,0.97,16.04,19.86,Report,17.9% (95% CI 16.0-19.9%),17.95,16.04,19.86,17.9% (95% CI 16.0-19.9%),90.07,17.95,4,72.12,0
education,Education,no education,mother_pnc_2days,Maternal PNC within 2 days,4534,1021,22.12,0.95,20.25,23.99,Report,22.1% (95% CI 20.2-24.0%),22.12,20.25,23.99,22.1% (95% CI 20.2-24.0%),82.86,22.12,4,60.74,0
education,Education,no education,newborn_pnc_2days,Newborn PNC within 2 days,4534,1052,22.07,0.95,20.2,23.94,Report,22.1% (95% CI 20.2-23.9%),22.07,20.2,23.94,22.1% (95% CI 20.2-23.9%),80.96,22.07,4,58.89,0
education,Education,no education,paired_pnc_2days,Mother and newborn both received PNC within 2 days,4534,890,18.54,0.89,16.79,20.29,Report,18.5% (95% CI 16.8-20.3%),18.54,16.79,20.29,18.5% (95% CI 16.8-20.3%),77.5,18.54,4,58.96,0
education,Education,no education,complete_continuum,Complete continuum,4513,293,6.45,0.55,5.37,7.53,Report,6.4% (95% CI 5.4-7.5%),6.45,5.37,7.53,6.4% (95% CI 5.4-7.5%),69.66,6.45,4,63.21,0
education,Education,primary,anc_4plus,Four or more ANC contacts,1142,626,55.55,1.97,51.69,59.42,Report,55.5% (95% CI 51.7-59.4%),55.55,51.69,59.42,55.5% (95% CI 51.7-59.4%),90.62,31.83,3,35.07,23.72
education,Education,primary,anc_8plus,Eight or more ANC contacts,1142,156,13.65,1.25,11.21,16.09,Report,13.6% (95% CI 11.2-16.1%),13.65,11.21,16.09,13.6% (95% CI 11.2-16.1%),45.93,3.24,3,32.28,10.41
education,Education,primary,skilled_birth,Skilled birth attendance,1172,528,42.71,1.71,39.37,46.06,Report,42.7% (95% CI 39.4-46.1%),42.71,39.37,46.06,42.7% (95% CI 39.4-46.1%),90.85,18.05,3,48.14,24.66
education,Education,primary,facility_delivery,Health facility delivery,1162,488,38.63,2.04,34.64,42.62,Report,38.6% (95% CI 34.6-42.6%),38.63,34.64,42.62,38.6% (95% CI 34.6-42.6%),90.07,17.95,3,51.44,20.68
education,Education,primary,mother_pnc_2days,Maternal PNC within 2 days,1172,479,37.28,1.93,33.5,41.07,Report,37.3% (95% CI 33.5-41.1%),37.28,33.5,41.07,37.3% (95% CI 33.5-41.1%),82.86,22.12,3,45.58,15.16
education,Education,primary,newborn_pnc_2days,Newborn PNC within 2 days,1172,490,37.68,1.82,34.11,41.25,Report,37.7% (95% CI 34.1-41.2%),37.68,34.11,41.25,37.7% (95% CI 34.1-41.2%),80.96,22.07,3,43.28,15.61
education,Education,primary,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1172,430,32.47,1.82,28.9,36.04,Report,32.5% (95% CI 28.9-36.0%),32.47,28.9,36.04,32.5% (95% CI 28.9-36.0%),77.5,18.54,3,45.03,13.93
education,Education,primary,complete_continuum,Complete continuum,1142,231,18.41,1.32,15.82,20.99,Report,18.4% (95% CI 15.8-21.0%),18.41,15.82,20.99,18.4% (95% CI 15.8-21.0%),69.66,6.45,3,51.25,11.96
education,Education,secondary,anc_4plus,Four or more ANC contacts,3520,2580,73.5,1,71.54,75.46,Report,73.5% (95% CI 71.5-75.5%),73.5,71.54,75.46,73.5% (95% CI 71.5-75.5%),90.62,31.83,2,17.12,41.67
education,Education,secondary,anc_8plus,Eight or more ANC contacts,3520,1013,28.79,1.11,26.6,30.97,Report,28.8% (95% CI 26.6-31.0%),28.79,26.6,30.97,28.8% (95% CI 26.6-31.0%),45.93,3.24,2,17.14,25.55
education,Education,secondary,skilled_birth,Skilled birth attendance,3673,2618,69.83,1.13,67.61,72.05,Report,69.8% (95% CI 67.6-72.0%),69.83,67.61,72.05,69.8% (95% CI 67.6-72.0%),90.85,18.05,2,21.02,51.78
education,Education,secondary,facility_delivery,Health facility delivery,3633,2460,65.22,1.21,62.85,67.6,Report,65.2% (95% CI 62.9-67.6%),65.22,62.85,67.6,65.2% (95% CI 62.9-67.6%),90.07,17.95,2,24.85,47.27
education,Education,secondary,mother_pnc_2days,Maternal PNC within 2 days,3673,2289,61.69,1.06,59.61,63.77,Report,61.7% (95% CI 59.6-63.8%),61.69,59.61,63.77,61.7% (95% CI 59.6-63.8%),82.86,22.12,2,21.17,39.57
education,Education,secondary,newborn_pnc_2days,Newborn PNC within 2 days,3673,2287,60.36,1.12,58.16,62.56,Report,60.4% (95% CI 58.2-62.6%),60.36,58.16,62.56,60.4% (95% CI 58.2-62.6%),80.96,22.07,2,20.6,38.29
education,Education,secondary,paired_pnc_2days,Mother and newborn both received PNC within 2 days,3673,2100,55.58,1.14,53.34,57.82,Report,55.6% (95% CI 53.3-57.8%),55.58,53.34,57.82,55.6% (95% CI 53.3-57.8%),77.5,18.54,2,21.92,37.04
education,Education,secondary,complete_continuum,Complete continuum,3520,1424,39.36,1.1,37.22,41.51,Report,39.4% (95% CI 37.2-41.5%),39.36,37.22,41.51,39.4% (95% CI 37.2-41.5%),69.66,6.45,2,30.3,32.91
age_group,Age group,15-19,anc_4plus,Four or more ANC contacts,654,248,40.16,2.63,35.01,45.3,Report,40.2% (95% CI 35.0-45.3%),40.16,35.01,45.3,40.2% (95% CI 35.0-45.3%),58.53,40.16,7,18.37,0
age_group,Age group,15-19,anc_8plus,Eight or more ANC contacts,654,53,8.49,1.43,5.69,11.28,Report,8.5% (95% CI 5.7-11.3%),8.49,5.69,11.28,8.5% (95% CI 5.7-11.3%),20.42,8.49,7,11.93,0
age_group,Age group,15-19,skilled_birth,Skilled birth attendance,666,226,31.92,2.5,27.02,36.81,Report,31.9% (95% CI 27.0-36.8%),31.92,27.02,36.81,31.9% (95% CI 27.0-36.8%),50.29,31.92,7,18.37,0
age_group,Age group,15-19,facility_delivery,Health facility delivery,664,221,30.77,2.34,26.19,35.35,Report,30.8% (95% CI 26.2-35.4%),30.77,26.19,35.35,30.8% (95% CI 26.2-35.4%),48.2,30.66,6,17.43,0.11
age_group,Age group,15-19,mother_pnc_2days,Maternal PNC within 2 days,666,219,30.99,2.46,26.17,35.81,Report,31.0% (95% CI 26.2-35.8%),30.99,26.17,35.81,31.0% (95% CI 26.2-35.8%),48.17,30.21,6,17.18,0.78
age_group,Age group,15-19,newborn_pnc_2days,Newborn PNC within 2 days,666,223,31.3,2.49,26.43,36.18,Report,31.3% (95% CI 26.4-36.2%),31.3,26.43,36.18,31.3% (95% CI 26.4-36.2%),46.41,29.93,6,15.11,1.37
age_group,Age group,15-19,paired_pnc_2days,Mother and newborn both received PNC within 2 days,666,190,25.96,2.4,21.26,30.66,Report,26.0% (95% CI 21.3-30.7%),25.96,21.26,30.66,26.0% (95% CI 21.3-30.7%),42.96,25.96,7,17,0
age_group,Age group,15-19,complete_continuum,Complete continuum,654,86,12.41,1.68,9.12,15.69,Report,12.4% (95% CI 9.1-15.7%),12.41,9.12,15.69,12.4% (95% CI 9.1-15.7%),29.92,12.41,7,17.51,0
age_group,Age group,20-24,anc_4plus,Four or more ANC contacts,2365,1186,50.9,1.56,47.85,53.95,Report,50.9% (95% CI 47.9-54.0%),50.9,47.85,53.95,50.9% (95% CI 47.9-54.0%),58.53,40.16,4,7.63,10.74
age_group,Age group,20-24,anc_8plus,Eight or more ANC contacts,2365,333,13.42,0.89,11.68,15.16,Report,13.4% (95% CI 11.7-15.2%),13.42,11.68,15.16,13.4% (95% CI 11.7-15.2%),20.42,8.49,5,7,4.93
age_group,Age group,20-24,skilled_birth,Skilled birth attendance,2420,1064,41.74,1.48,38.84,44.64,Report,41.7% (95% CI 38.8-44.6%),41.74,38.84,44.64,41.7% (95% CI 38.8-44.6%),50.29,31.92,4,8.55,9.82
age_group,Age group,20-24,facility_delivery,Health facility delivery,2409,1016,39.75,1.45,36.91,42.6,Report,39.8% (95% CI 36.9-42.6%),39.75,36.91,42.6,39.8% (95% CI 36.9-42.6%),48.2,30.66,4,8.45,9.09
age_group,Age group,20-24,mother_pnc_2days,Maternal PNC within 2 days,2420,1015,40.04,1.31,37.47,42.61,Report,40.0% (95% CI 37.5-42.6%),40.04,37.47,42.61,40.0% (95% CI 37.5-42.6%),48.17,30.21,4,8.13,9.83
age_group,Age group,20-24,newborn_pnc_2days,Newborn PNC within 2 days,2420,1028,39.59,1.24,37.16,42.01,Report,39.6% (95% CI 37.2-42.0%),39.59,37.16,42.01,39.6% (95% CI 37.2-42.0%),46.41,29.93,4,6.82,9.66
age_group,Age group,20-24,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2420,916,34.98,1.24,32.55,37.42,Report,35.0% (95% CI 32.5-37.4%),34.98,32.55,37.42,35.0% (95% CI 32.5-37.4%),42.96,25.96,4,7.98,9.02
age_group,Age group,20-24,complete_continuum,Complete continuum,2365,528,20.39,1.05,18.33,22.45,Report,20.4% (95% CI 18.3-22.4%),20.39,18.33,22.45,20.4% (95% CI 18.3-22.4%),29.92,12.41,5,9.53,7.98
age_group,Age group,25-29,anc_4plus,Four or more ANC contacts,2745,1542,55.35,1.36,52.68,58.02,Report,55.4% (95% CI 52.7-58.0%),55.35,52.68,58.02,55.4% (95% CI 52.7-58.0%),58.53,40.16,3,3.18,15.19
age_group,Age group,25-29,anc_8plus,Eight or more ANC contacts,2745,525,18.31,0.98,16.39,20.24,Report,18.3% (95% CI 16.4-20.2%),18.31,16.39,20.24,18.3% (95% CI 16.4-20.2%),20.42,8.49,3,2.11,9.82
age_group,Age group,25-29,skilled_birth,Skilled birth attendance,2813,1369,46.56,1.33,43.94,49.17,Report,46.6% (95% CI 43.9-49.2%),46.56,43.94,49.17,46.6% (95% CI 43.9-49.2%),50.29,31.92,3,3.73,14.64
age_group,Age group,25-29,facility_delivery,Health facility delivery,2796,1305,44.37,1.34,41.75,47,Report,44.4% (95% CI 41.8-47.0%),44.37,41.75,47,44.4% (95% CI 41.8-47.0%),48.2,30.66,3,3.83,13.71
age_group,Age group,25-29,mother_pnc_2days,Maternal PNC within 2 days,2813,1298,44.13,1.3,41.59,46.68,Report,44.1% (95% CI 41.6-46.7%),44.13,41.59,46.68,44.1% (95% CI 41.6-46.7%),48.17,30.21,3,4.04,13.92
age_group,Age group,25-29,newborn_pnc_2days,Newborn PNC within 2 days,2813,1312,44.17,1.28,41.65,46.68,Report,44.2% (95% CI 41.6-46.7%),44.17,41.65,46.68,44.2% (95% CI 41.6-46.7%),46.41,29.93,3,2.24,14.24
age_group,Age group,25-29,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2813,1196,39.94,1.28,37.42,42.45,Report,39.9% (95% CI 37.4-42.5%),39.94,37.42,42.45,39.9% (95% CI 37.4-42.5%),42.96,25.96,3,3.02,13.98
age_group,Age group,25-29,complete_continuum,Complete continuum,2745,785,26.71,1.11,24.54,28.88,Report,26.7% (95% CI 24.5-28.9%),26.71,24.54,28.88,26.7% (95% CI 24.5-28.9%),29.92,12.41,3,3.21,14.3
age_group,Age group,30-34,anc_4plus,Four or more ANC contacts,2287,1344,58.53,1.46,55.68,61.39,Report,58.5% (95% CI 55.7-61.4%),58.53,55.68,61.39,58.5% (95% CI 55.7-61.4%),58.53,40.16,1,0,18.37
age_group,Age group,30-34,anc_8plus,Eight or more ANC contacts,2287,479,20.42,1.1,18.27,22.57,Report,20.4% (95% CI 18.3-22.6%),20.42,18.27,22.57,20.4% (95% CI 18.3-22.6%),20.42,8.49,1,0,11.93
age_group,Age group,30-34,skilled_birth,Skilled birth attendance,2365,1247,49.88,1.41,47.12,52.63,Report,49.9% (95% CI 47.1-52.6%),49.88,47.12,52.63,49.9% (95% CI 47.1-52.6%),50.29,31.92,2,0.41,17.96
age_group,Age group,30-34,facility_delivery,Health facility delivery,2347,1169,47.21,1.45,44.37,50.06,Report,47.2% (95% CI 44.4-50.1%),47.21,44.37,50.06,47.2% (95% CI 44.4-50.1%),48.2,30.66,2,0.99,16.55
age_group,Age group,30-34,mother_pnc_2days,Maternal PNC within 2 days,2365,1181,48.17,1.38,45.46,50.87,Report,48.2% (95% CI 45.5-50.9%),48.17,45.46,50.87,48.2% (95% CI 45.5-50.9%),48.17,30.21,1,0,17.96
age_group,Age group,30-34,newborn_pnc_2days,Newborn PNC within 2 days,2365,1162,46.41,1.38,43.71,49.11,Report,46.4% (95% CI 43.7-49.1%),46.41,43.71,49.11,46.4% (95% CI 43.7-49.1%),46.41,29.93,1,0,16.48
age_group,Age group,30-34,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2365,1073,42.96,1.34,40.34,45.59,Report,43.0% (95% CI 40.3-45.6%),42.96,40.34,45.59,43.0% (95% CI 40.3-45.6%),42.96,25.96,1,0,17
age_group,Age group,30-34,complete_continuum,Complete continuum,2287,717,29.92,1.22,27.52,32.32,Report,29.9% (95% CI 27.5-32.3%),29.92,27.52,32.32,29.9% (95% CI 27.5-32.3%),29.92,12.41,1,0,17.51
age_group,Age group,35-39,anc_4plus,Four or more ANC contacts,1410,826,57,1.67,53.72,60.27,Report,57.0% (95% CI 53.7-60.3%),57,53.72,60.27,57.0% (95% CI 53.7-60.3%),58.53,40.16,2,1.53,16.84
age_group,Age group,35-39,anc_8plus,Eight or more ANC contacts,1410,278,19.34,1.28,16.83,21.85,Report,19.3% (95% CI 16.8-21.9%),19.34,16.83,21.85,19.3% (95% CI 16.8-21.9%),20.42,8.49,2,1.08,10.85
age_group,Age group,35-39,skilled_birth,Skilled birth attendance,1463,776,50.29,1.77,46.83,53.76,Report,50.3% (95% CI 46.8-53.8%),50.29,46.83,53.76,50.3% (95% CI 46.8-53.8%),50.29,31.92,1,0,18.37
age_group,Age group,35-39,facility_delivery,Health facility delivery,1453,747,48.2,1.69,44.89,51.5,Report,48.2% (95% CI 44.9-51.5%),48.2,44.89,51.5,48.2% (95% CI 44.9-51.5%),48.2,30.66,1,0,17.54
age_group,Age group,35-39,mother_pnc_2days,Maternal PNC within 2 days,1463,718,47.07,1.69,43.75,50.38,Report,47.1% (95% CI 43.8-50.4%),47.07,43.75,50.38,47.1% (95% CI 43.8-50.4%),48.17,30.21,2,1.1,16.86
age_group,Age group,35-39,newborn_pnc_2days,Newborn PNC within 2 days,1463,717,46.25,1.67,42.99,49.52,Report,46.2% (95% CI 43.0-49.5%),46.25,42.99,49.52,46.2% (95% CI 43.0-49.5%),46.41,29.93,2,0.16,16.32
age_group,Age group,35-39,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1463,651,42.24,1.61,39.08,45.39,Report,42.2% (95% CI 39.1-45.4%),42.24,39.08,45.39,42.2% (95% CI 39.1-45.4%),42.96,25.96,2,0.72,16.28
age_group,Age group,35-39,complete_continuum,Complete continuum,1410,405,27.37,1.42,24.59,30.14,Report,27.4% (95% CI 24.6-30.1%),27.37,24.59,30.14,27.4% (95% CI 24.6-30.1%),29.92,12.41,2,2.55,14.96
age_group,Age group,40-44,anc_4plus,Four or more ANC contacts,632,319,50.22,2.54,45.24,55.2,Report,50.2% (95% CI 45.2-55.2%),50.22,45.24,55.2,50.2% (95% CI 45.2-55.2%),58.53,40.16,5,8.31,10.06
age_group,Age group,40-44,anc_8plus,Eight or more ANC contacts,632,108,15.59,1.57,12.52,18.66,Report,15.6% (95% CI 12.5-18.7%),15.59,12.52,18.66,15.6% (95% CI 12.5-18.7%),20.42,8.49,4,4.83,7.1
age_group,Age group,40-44,skilled_birth,Skilled birth attendance,649,289,40.81,2.45,36,45.61,Report,40.8% (95% CI 36.0-45.6%),40.81,36,45.61,40.8% (95% CI 36.0-45.6%),50.29,31.92,5,9.48,8.89
age_group,Age group,40-44,facility_delivery,Health facility delivery,645,282,38.92,2.49,34.04,43.8,Report,38.9% (95% CI 34.0-43.8%),38.92,34.04,43.8,38.9% (95% CI 34.0-43.8%),48.2,30.66,5,9.28,8.26
age_group,Age group,40-44,mother_pnc_2days,Maternal PNC within 2 days,649,260,36.69,2.44,31.91,41.46,Report,36.7% (95% CI 31.9-41.5%),36.69,31.91,41.46,36.7% (95% CI 31.9-41.5%),48.17,30.21,5,11.48,6.48
age_group,Age group,40-44,newborn_pnc_2days,Newborn PNC within 2 days,649,266,36.3,2.44,31.52,41.08,Report,36.3% (95% CI 31.5-41.1%),36.3,31.52,41.08,36.3% (95% CI 31.5-41.1%),46.41,29.93,5,10.11,6.37
age_group,Age group,40-44,paired_pnc_2days,Mother and newborn both received PNC within 2 days,649,239,32.7,2.37,28.05,37.36,Report,32.7% (95% CI 28.1-37.4%),32.7,28.05,37.36,32.7% (95% CI 28.1-37.4%),42.96,25.96,5,10.26,6.74
age_group,Age group,40-44,complete_continuum,Complete continuum,632,153,21.61,2.01,17.67,25.56,Report,21.6% (95% CI 17.7-25.6%),21.61,17.67,25.56,21.6% (95% CI 17.7-25.6%),29.92,12.41,4,8.31,9.2
age_group,Age group,45-49,anc_4plus,Four or more ANC contacts,143,60,42.27,4.46,33.53,51,Report,42.3% (95% CI 33.5-51.0%),42.27,33.53,51,42.3% (95% CI 33.5-51.0%),58.53,40.16,6,16.26,2.11
age_group,Age group,45-49,anc_8plus,Eight or more ANC contacts,143,15,10.07,2.84,4.51,15.63,Report,10.1% (95% CI 4.5-15.6%),10.07,4.51,15.63,10.1% (95% CI 4.5-15.6%),20.42,8.49,6,10.35,1.58
age_group,Age group,45-49,skilled_birth,Skilled birth attendance,146,57,33.44,4.28,25.05,41.84,Report,33.4% (95% CI 25.1-41.8%),33.44,25.05,41.84,33.4% (95% CI 25.1-41.8%),50.29,31.92,6,16.85,1.52
age_group,Age group,45-49,facility_delivery,Health facility delivery,146,54,30.66,4.14,22.55,38.78,Report,30.7% (95% CI 22.6-38.8%),30.66,22.55,38.78,30.7% (95% CI 22.6-38.8%),48.2,30.66,7,17.54,0
age_group,Age group,45-49,mother_pnc_2days,Maternal PNC within 2 days,146,56,30.21,4.38,21.63,38.8,Report,30.2% (95% CI 21.6-38.8%),30.21,21.63,38.8,30.2% (95% CI 21.6-38.8%),48.17,30.21,7,17.96,0
age_group,Age group,45-49,newborn_pnc_2days,Newborn PNC within 2 days,146,57,29.93,4.33,21.45,38.42,Report,29.9% (95% CI 21.4-38.4%),29.93,21.45,38.42,29.9% (95% CI 21.4-38.4%),46.41,29.93,7,16.48,0
age_group,Age group,45-49,paired_pnc_2days,Mother and newborn both received PNC within 2 days,146,53,27.55,4.06,19.6,35.5,Report,27.6% (95% CI 19.6-35.5%),27.55,19.6,35.5,27.6% (95% CI 19.6-35.5%),42.96,25.96,6,15.41,1.59
age_group,Age group,45-49,complete_continuum,Complete continuum,143,28,14.74,2.99,8.87,20.61,Report,14.7% (95% CI 8.9-20.6%),14.74,8.87,20.61,14.7% (95% CI 8.9-20.6%),29.92,12.41,6,15.18,2.33
