equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,highest_percent,lowest_percent,rank_high_to_low,gap_to_best_pp,gap_above_lowest_pp
zone,Zone,south east,anc_4plus,Four or more ANC contacts,1043,821,76.74,2.62,71.61,81.87,Report,76.7% (95% CI 71.6-81.9%),76.74,71.61,81.87,76.7% (95% CI 71.6-81.9%),88.01,40.77,2,11.27,35.97
zone,Zone,south east,anc_8plus,Eight or more ANC contacts,1043,386,36.64,2.25,32.23,41.04,Report,36.6% (95% CI 32.2-41.0%),36.64,32.23,41.04,36.6% (95% CI 32.2-41.0%),68.82,3.98,3,32.18,32.66
zone,Zone,south east,skilled_birth,Skilled birth attendance,1093,974,88.14,1.81,84.58,91.69,Report,88.1% (95% CI 84.6-91.7%),88.14,84.58,91.69,88.1% (95% CI 84.6-91.7%),88.14,25.02,1,0,63.12
zone,Zone,south east,facility_delivery,Health facility delivery,1075,946,87.89,1.41,85.13,90.65,Report,87.9% (95% CI 85.1-90.7%),87.89,85.13,90.65,87.9% (95% CI 85.1-90.7%),87.89,21.5,1,0,66.39
zone,Zone,south east,mother_pnc_2days,Maternal PNC within 2 days,1093,694,63.09,1.87,59.43,66.76,Report,63.1% (95% CI 59.4-66.8%),63.09,59.43,66.76,63.1% (95% CI 59.4-66.8%),78.51,24.89,3,15.42,38.2
zone,Zone,south east,newborn_pnc_2days,Newborn PNC within 2 days,1093,685,61.74,1.95,57.91,65.57,Report,61.7% (95% CI 57.9-65.6%),61.74,57.91,65.57,61.7% (95% CI 57.9-65.6%),79.13,23.89,3,17.39,37.85
zone,Zone,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1093,652,58.92,1.88,55.23,62.61,Report,58.9% (95% CI 55.2-62.6%),58.92,55.23,62.61,58.9% (95% CI 55.2-62.6%),74.37,19.81,3,15.45,39.11
zone,Zone,south east,complete_continuum,Complete continuum,1043,492,45.77,2.25,41.36,50.19,Report,45.8% (95% CI 41.4-50.2%),45.77,41.36,50.19,45.8% (95% CI 41.4-50.2%),63.6,10.35,3,17.83,35.42
zone,Zone,south south,anc_4plus,Four or more ANC contacts,912,660,75.54,1.86,71.9,79.18,Report,75.5% (95% CI 71.9-79.2%),75.54,71.9,79.18,75.5% (95% CI 71.9-79.2%),88.01,40.77,3,12.47,34.77
zone,Zone,south south,anc_8plus,Eight or more ANC contacts,912,370,43.61,2.28,39.14,48.08,Report,43.6% (95% CI 39.1-48.1%),43.61,39.14,48.08,43.6% (95% CI 39.1-48.1%),68.82,3.98,2,25.21,39.63
zone,Zone,south south,skilled_birth,Skilled birth attendance,1027,728,76.23,2.16,71.99,80.47,Report,76.2% (95% CI 72.0-80.5%),76.23,71.99,80.47,76.2% (95% CI 72.0-80.5%),88.14,25.02,3,11.91,51.21
zone,Zone,south south,facility_delivery,Health facility delivery,1013,641,66.49,2.38,61.82,71.16,Report,66.5% (95% CI 61.8-71.2%),66.49,61.82,71.16,66.5% (95% CI 61.8-71.2%),87.89,21.5,3,21.4,44.99
