mother_first_pnc_timing,unweighted_n,percent
1-2 days,297,2.8226572894886903
3-6 days,53,0.503706519673066
4-23 hours,548,5.20813533548755
7-41 days,45,0.4276753468922258
Don't know or missing timing,47,0.4466831400874358
Less than 4 hours,3897,37.03668504086676
More than 41 days,5,0.047519482988025094
No qualifying PNC check,5630,53.50693784451626
