indicator,value,unweighted_n,percent
Health facility delivery,0,5666,53.849078122030036
Health facility delivery,1,4794,45.56168028891845
Health facility delivery,NA,62,0.5892415890515111
Skilled birth attendance,0,5494,52.21440790724196
Skilled birth attendance,1,5028,47.78559209275804
