quality_check,result
Analytical cohort size,10522
State/FCT units identified,37
Indicators analysed,8
Expected state-indicator estimates,296
State-indicator estimates generated,296
Invalid state percentages,0
Invalid state confidence intervals,0
Suppressed estimates,0
Caution estimates,0
Reportable estimates,296
Complete-continuum states ranked,37
