newborn_pnc_timing,unweighted_n,percent
1-2 days,330,3.136285877209656
1-3 hours,2598,24.691123360577837
3-6 days,67,0.6367610720395362
4-23 hours,501,4.761452195400114
Don't know or missing timing,47,0.4466831400874358
Less than 1 hour,1336,12.697205854400304
No check or 7+ days,5643,53.63048850028511
