state,zone,indicator,state_rank,public_weighted_percent,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status
Abia,south east,Four or more ANC contacts,7,83.97,53.65,30.32,12.67,Report
Federal Capital Territory,north central,Four or more ANC contacts,8,82.97,53.65,29.32,13.67,Report
Ekiti,south west,Four or more ANC contacts,9,82.33,53.65,28.68,14.31,Report
Delta,south south,Four or more ANC contacts,10,81.02,53.65,27.37,15.62,Report
Cross River,south south,Four or more ANC contacts,11,79.99,53.65,26.34,16.65,Report
Oyo,south west,Four or more ANC contacts,12,79.89,53.65,26.24,16.75,Report
Enugu,south east,Four or more ANC contacts,13,78.61,53.65,24.96,18.03,Report
Rivers,south south,Four or more ANC contacts,14,76.48,53.65,22.83,20.16,Report
Ondo,south west,Four or more ANC contacts,15,72.3,53.65,18.65,24.34,Report
Akwa Ibom,south south,Four or more ANC contacts,16,66.41,53.65,12.76,30.23,Report
Nasarawa,north central,Four or more ANC contacts,17,65.95,53.65,12.3,30.69,Report
Ebonyi,south east,Four or more ANC contacts,18,61.73,53.65,8.08,34.91,Report
Borno,north east,Four or more ANC contacts,19,61.1,53.65,7.45,35.54,Report
Kaduna,north west,Four or more ANC contacts,20,59.43,53.65,5.78,37.21,Report
Adamawa,north east,Four or more ANC contacts,21,56.55,53.65,2.9,40.09,Report
Bayelsa,south south,Four or more ANC contacts,22,56.21,53.65,2.56,40.43,Report
Kogi,north central,Four or more ANC contacts,23,54.26,53.65,0.61,42.38,Report
Kano,north west,Four or more ANC contacts,24,52.18,53.65,-1.47,44.46,Report
Kwara,north central,Four or more ANC contacts,25,51.58,53.65,-2.07,45.06,Report
Taraba,north east,Four or more ANC contacts,26,50.55,53.65,-3.1,46.09,Report
Benue,north central,Four or more ANC contacts,27,49.13,53.65,-4.52,47.51,Report
Yobe,north east,Four or more ANC contacts,28,48.5,53.65,-5.15,48.14,Report
Plateau,north central,Four or more ANC contacts,29,47.59,53.65,-6.06,49.05,Report
Bauchi,north east,Four or more ANC contacts,30,46.83,53.65,-6.82,49.81,Report
Gombe,north east,Four or more ANC contacts,31,39.1,53.65,-14.55,57.54,Report
Jigawa,north west,Four or more ANC contacts,32,37.66,53.65,-15.99,58.98,Report
Katsina,north west,Four or more ANC contacts,33,37.24,53.65,-16.41,59.4,Report
Niger,north central,Four or more ANC contacts,34,34.69,53.65,-18.96,61.95,Report
Sokoto,north west,Four or more ANC contacts,35,22.75,53.65,-30.9,73.89,Report
Zamfara,north west,Four or more ANC contacts,36,21.46,53.65,-32.19,75.18,Report
Kebbi,north west,Four or more ANC contacts,37,14.03,53.65,-39.62,82.61,Report
Imo,south east,Health facility delivery,1,96.84,42.93,53.91,0,Report
Enugu,south east,Health facility delivery,2,93.63,42.93,50.7,3.21,Report
Edo,south south,Health facility delivery,3,90.59,42.93,47.66,6.25,Report
Anambra,south east,Health facility delivery,4,88.25,42.93,45.32,8.59,Report
Osun,south west,Health facility delivery,5,87.49,42.93,44.56,9.35,Report
Abia,south east,Health facility delivery,6,87.26,42.93,44.33,9.58,Report
Lagos,south west,Health facility delivery,7,85.9,42.93,42.97,10.94,Report
Ekiti,south west,Health facility delivery,8,85.45,42.93,42.52,11.39,Report
Ondo,south west,Health facility delivery,9,84.38,42.93,41.45,12.46,Report
Ogun,south west,Health facility delivery,10,83.58,42.93,40.65,13.26,Report
Delta,south south,Health facility delivery,11,83.48,42.93,40.55,13.36,Report
Federal Capital Territory,north central,Health facility delivery,12,82.37,42.93,39.44,14.47,Report
Ebonyi,south east,Health facility delivery,13,79.21,42.93,36.28,17.63,Report
Oyo,south west,Health facility delivery,14,76.8,42.93,33.87,20.04,Report
Kogi,north central,Health facility delivery,15,62.74,42.93,19.81,34.1,Report
Benue,north central,Health facility delivery,16,59.66,42.93,16.73,37.18,Report
Rivers,south south,Health facility delivery,17,59.11,42.93,16.18,37.73,Report
Cross River,south south,Health facility delivery,18,58.21,42.93,15.28,38.63,Report
Nasarawa,north central,Health facility delivery,19,54.95,42.93,12.02,41.89,Report
Kwara,north central,Health facility delivery,20,50.96,42.93,8.03,45.88,Report
Gombe,north east,Health facility delivery,21,47.16,42.93,4.23,49.68,Report
Bayelsa,south south,Health facility delivery,22,46.61,42.93,3.68,50.23,Report
Plateau,north central,Health facility delivery,23,45.71,42.93,2.78,51.13,Report
Borno,north east,Health facility delivery,24,43.71,42.93,0.78,53.13,Report
Akwa Ibom,south south,Health facility delivery,25,42.52,42.93,-0.41,54.32,Report
Adamawa,north east,Health facility delivery,26,40.38,42.93,-2.55,56.46,Report
Taraba,north east,Health facility delivery,27,32.81,42.93,-10.12,64.03,Report
Kano,north west,Health facility delivery,28,32.34,42.93,-10.59,64.5,Report
Yobe,north east,Health facility delivery,29,31.65,42.93,-11.28,65.19,Report
Bauchi,north east,Health facility delivery,30,30.49,42.93,-12.44,66.35,Report
Niger,north central,Health facility delivery,31,30.2,42.93,-12.73,66.64,Report
Kaduna,north west,Health facility delivery,32,25.09,42.93,-17.84,71.75,Report
Jigawa,north west,Health facility delivery,33,20.85,42.93,-22.08,75.99,Report
Katsina,north west,Health facility delivery,34,15.33,42.93,-27.6,81.51,Report
Zamfara,north west,Health facility delivery,35,14.58,42.93,-28.35,82.26,Report
Sokoto,north west,Health facility delivery,36,12.44,42.93,-30.49,84.4,Report
Kebbi,north west,Health facility delivery,37,9.1,42.93,-33.83,87.74,Report
Lagos,south west,Maternal PNC within 2 days,1,87.32,42.87,44.45,0,Report
Edo,south south,Maternal PNC within 2 days,2,86.14,42.87,43.27,1.18,Report
Federal Capital Territory,north central,Maternal PNC within 2 days,3,82.27,42.87,39.4,5.05,Report
Ogun,south west,Maternal PNC within 2 days,4,81.03,42.87,38.16,6.29,Report
Ekiti,south west,Maternal PNC within 2 days,5,77.48,42.87,34.61,9.84,Report
Delta,south south,Maternal PNC within 2 days,6,77.25,42.87,34.38,10.07,Report
Ondo,south west,Maternal PNC within 2 days,7,75.87,42.87,33,11.45,Report
Osun,south west,Maternal PNC within 2 days,8,75.28,42.87,32.41,12.04,Report
Cross River,south south,Maternal PNC within 2 days,9,74.64,42.87,31.77,12.68,Report
Anambra,south east,Maternal PNC within 2 days,10,73.17,42.87,30.3,14.15,Report
Nasarawa,north central,Maternal PNC within 2 days,11,68.39,42.87,25.52,18.93,Report
Oyo,south west,Maternal PNC within 2 days,12,68.32,42.87,25.45,19,Report
Abia,south east,Maternal PNC within 2 days,13,66.4,42.87,23.53,20.92,Report
Enugu,south east,Maternal PNC within 2 days,14,65.79,42.87,22.92,21.53,Report
Imo,south east,Maternal PNC within 2 days,15,61.67,42.87,18.8,25.65,Report
Akwa Ibom,south south,Maternal PNC within 2 days,16,60.42,42.87,17.55,26.9,Report
Kwara,north central,Maternal PNC within 2 days,17,56.95,42.87,14.08,30.37,Report
Plateau,north central,Maternal PNC within 2 days,18,56.32,42.87,13.45,31,Report
Benue,north central,Maternal PNC within 2 days,19,56.18,42.87,13.31,31.14,Report
Kogi,north central,Maternal PNC within 2 days,20,56.17,42.87,13.3,31.15,Report
Ebonyi,south east,Maternal PNC within 2 days,21,55.93,42.87,13.06,31.39,Report
Rivers,south south,Maternal PNC within 2 days,22,54.34,42.87,11.47,32.98,Report
Adamawa,north east,Maternal PNC within 2 days,23,50.85,42.87,7.98,36.47,Report
Borno,north east,Maternal PNC within 2 days,24,47.47,42.87,4.6,39.85,Report
Gombe,north east,Maternal PNC within 2 days,25,44.92,42.87,2.05,42.4,Report
Jigawa,north west,Maternal PNC within 2 days,26,43.86,42.87,0.99,43.46,Report
Bayelsa,south south,Maternal PNC within 2 days,27,43.44,42.87,0.57,43.88,Report
Taraba,north east,Maternal PNC within 2 days,28,34.41,42.87,-8.46,52.91,Report
Yobe,north east,Maternal PNC within 2 days,29,33.89,42.87,-8.98,53.43,Report
Kano,north west,Maternal PNC within 2 days,30,32.84,42.87,-10.03,54.48,Report
Niger,north central,Maternal PNC within 2 days,31,32.58,42.87,-10.29,54.74,Report
Bauchi,north east,Maternal PNC within 2 days,32,23.95,42.87,-18.92,63.37,Report
Kaduna,north west,Maternal PNC within 2 days,33,22.62,42.87,-20.25,64.7,Report
Katsina,north west,Maternal PNC within 2 days,34,19.39,42.87,-23.48,67.93,Report
Zamfara,north west,Maternal PNC within 2 days,35,18.08,42.87,-24.79,69.24,Report
Sokoto,north west,Maternal PNC within 2 days,36,11.57,42.87,-31.3,75.75,Report
Kebbi,north west,Maternal PNC within 2 days,37,11.32,42.87,-31.55,76,Report
Lagos,south west,Mother and newborn both received PNC within 2 days,1,83.21,38.14,45.07,0,Report
Edo,south south,Mother and newborn both received PNC within 2 days,2,80.65,38.14,42.51,2.56,Report
Federal Capital Territory,north central,Mother and newborn both received PNC within 2 days,3,80.29,38.14,42.15,2.92,Report
Ogun,south west,Mother and newborn both received PNC within 2 days,4,76.92,38.14,38.78,6.29,Report
Cross River,south south,Mother and newborn both received PNC within 2 days,5,72.88,38.14,34.74,10.33,Report
Ekiti,south west,Mother and newborn both received PNC within 2 days,6,71.63,38.14,33.49,11.58,Report
Osun,south west,Mother and newborn both received PNC within 2 days,7,70.33,38.14,32.19,12.88,Report
Ondo,south west,Mother and newborn both received PNC within 2 days,8,70.09,38.14,31.95,13.12,Report
Delta,south south,Mother and newborn both received PNC within 2 days,9,69.9,38.14,31.76,13.31,Report
Anambra,south east,Mother and newborn both received PNC within 2 days,10,69.45,38.14,31.31,13.76,Report
Oyo,south west,Mother and newborn both received PNC within 2 days,11,65.58,38.14,27.44,17.63,Report
Nasarawa,north central,Mother and newborn both received PNC within 2 days,12,62.1,38.14,23.96,21.11,Report
Abia,south east,Mother and newborn both received PNC within 2 days,13,60.69,38.14,22.55,22.52,Report
Enugu,south east,Mother and newborn both received PNC within 2 days,14,59.46,38.14,21.32,23.75,Report
Imo,south east,Mother and newborn both received PNC within 2 days,15,55.92,38.14,17.78,27.29,Report
Akwa Ibom,south south,Mother and newborn both received PNC within 2 days,16,55.1,38.14,16.96,28.11,Report
Ebonyi,south east,Mother and newborn both received PNC within 2 days,17,54,38.14,15.86,29.21,Report
