outcome_definition,term,adjusted_odds_ratio,confidence_interval_low,confidence_interval_high,p_value,statistically_significant,association_direction,estimate_95ci
Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model35-39,1.018,0.818,1.269,0.8705,No,Positive,1.02 (95% CI 0.82-1.27)
Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model40-44,1.117,0.798,1.563,0.5197,No,Positive,1.12 (95% CI 0.80-1.56)
Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model45-49,0.851,0.507,1.429,0.5418,No,Negative,0.85 (95% CI 0.51-1.43)
Sensitivity 2: ANC4 + facility delivery + paired PNC,education_modelhigher,6.605,5,8.725,0,Yes,Positive,6.61 (95% CI 5.00-8.72)
Sensitivity 2: ANC4 + facility delivery + paired PNC,education_modelprimary,2.004,1.592,2.523,0,Yes,Positive,2.00 (95% CI 1.59-2.52)
Sensitivity 2: ANC4 + facility delivery + paired PNC,education_modelsecondary,3.206,2.59,3.968,0,Yes,Positive,3.21 (95% CI 2.59-3.97)
Sensitivity 2: ANC4 + facility delivery + paired PNC,wealth_modelmiddle,2.159,1.609,2.896,0,Yes,Positive,2.16 (95% CI 1.61-2.90)
Sensitivity 2: ANC4 + facility delivery + paired PNC,wealth_modelpoorer,1.386,1.032,1.863,0.0302,Yes,Positive,1.39 (95% CI 1.03-1.86)
Sensitivity 2: ANC4 + facility delivery + paired PNC,wealth_modelricher,3.045,2.236,4.146,0,Yes,Positive,3.04 (95% CI 2.24-4.15)
Sensitivity 2: ANC4 + facility delivery + paired PNC,wealth_modelrichest,5.103,3.614,7.205,0,Yes,Positive,5.10 (95% CI 3.61-7.21)
Sensitivity 2: ANC4 + facility delivery + paired PNC,residence_modelurban,1.322,1.108,1.577,0.0019,Yes,Positive,1.32 (95% CI 1.11-1.58)
Sensitivity 2: ANC4 + facility delivery + paired PNC,zone_modelnorth central,2.919,2.354,3.619,0,Yes,Positive,2.92 (95% CI 2.35-3.62)
Sensitivity 2: ANC4 + facility delivery + paired PNC,zone_modelnorth east,2.319,1.813,2.965,0,Yes,Positive,2.32 (95% CI 1.81-2.96)
Sensitivity 2: ANC4 + facility delivery + paired PNC,zone_modelsouth east,2.987,2.338,3.816,0,Yes,Positive,2.99 (95% CI 2.34-3.82)
Sensitivity 2: ANC4 + facility delivery + paired PNC,zone_modelsouth south,2.235,1.738,2.873,0,Yes,Positive,2.23 (95% CI 1.74-2.87)
Sensitivity 2: ANC4 + facility delivery + paired PNC,zone_modelsouth west,4.32,3.288,5.675,0,Yes,Positive,4.32 (95% CI 3.29-5.67)
