state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Oyo,south west,Eight or more ANC contacts,197,49.36,42.05,56.67,Report,49.4% (95% CI 42.0-56.7%)
Oyo,south west,Skilled birth attendance,215,83.05,74.09,92.02,Report,83.0% (95% CI 74.1-92.0%)
Oyo,south west,Health facility delivery,210,76.8,69.16,84.44,Report,76.8% (95% CI 69.2-84.4%)
Oyo,south west,Maternal PNC within 2 days,215,68.32,58.94,77.71,Report,68.3% (95% CI 58.9-77.7%)
Oyo,south west,Newborn PNC within 2 days,215,71.45,62.52,80.39,Report,71.5% (95% CI 62.5-80.4%)
Oyo,south west,Mother and newborn both received PNC within 2 days,215,65.58,56.03,75.13,Report,65.6% (95% CI 56.0-75.1%)
Oyo,south west,Complete continuum,197,61.06,51.55,70.57,Report,61.1% (95% CI 51.5-70.6%)
Plateau,north central,Four or more ANC contacts,328,47.59,38.72,56.45,Report,47.6% (95% CI 38.7-56.5%)
Plateau,north central,Eight or more ANC contacts,328,8.93,5.19,12.67,Report,8.9% (95% CI 5.2-12.7%)
Plateau,north central,Skilled birth attendance,336,49.89,40,59.78,Report,49.9% (95% CI 40.0-59.8%)
Plateau,north central,Health facility delivery,334,45.71,34.78,56.64,Report,45.7% (95% CI 34.8-56.6%)
Plateau,north central,Maternal PNC within 2 days,336,56.32,47.69,64.96,Report,56.3% (95% CI 47.7-65.0%)
Plateau,north central,Newborn PNC within 2 days,336,52.88,44.31,61.44,Report,52.9% (95% CI 44.3-61.4%)
Plateau,north central,Mother and newborn both received PNC within 2 days,336,52.64,44.06,61.21,Report,52.6% (95% CI 44.1-61.2%)
Plateau,north central,Complete continuum,328,31.29,23.07,39.5,Report,31.3% (95% CI 23.1-39.5%)
Rivers,south south,Four or more ANC contacts,196,76.48,69.06,83.89,Report,76.5% (95% CI 69.1-83.9%)
Rivers,south south,Eight or more ANC contacts,196,49.74,40.88,58.6,Report,49.7% (95% CI 40.9-58.6%)
Rivers,south south,Skilled birth attendance,196,91.09,85.26,96.93,Report,91.1% (95% CI 85.3-96.9%)
Rivers,south south,Health facility delivery,195,59.11,49.51,68.71,Report,59.1% (95% CI 49.5-68.7%)
Rivers,south south,Maternal PNC within 2 days,196,54.34,45.78,62.89,Report,54.3% (95% CI 45.8-62.9%)
Rivers,south south,Newborn PNC within 2 days,196,54.19,45.81,62.57,Report,54.2% (95% CI 45.8-62.6%)
Rivers,south south,Mother and newborn both received PNC within 2 days,196,50.04,41.9,58.18,Report,50.0% (95% CI 41.9-58.2%)
Rivers,south south,Complete continuum,196,44.35,35.34,53.35,Report,44.4% (95% CI 35.3-53.4%)
Sokoto,north west,Four or more ANC contacts,441,22.75,14.35,31.15,Report,22.8% (95% CI 14.3-31.1%)
Sokoto,north west,Eight or more ANC contacts,441,4.08,1.6,6.56,Report,4.1% (95% CI 1.6-6.6%)
Sokoto,north west,Skilled birth attendance,441,12.41,6.42,18.41,Report,12.4% (95% CI 6.4-18.4%)
Sokoto,north west,Health facility delivery,441,12.44,6.46,18.43,Report,12.4% (95% CI 6.5-18.4%)
Sokoto,north west,Maternal PNC within 2 days,441,11.57,5.98,17.17,Report,11.6% (95% CI 6.0-17.2%)
Sokoto,north west,Newborn PNC within 2 days,441,10.17,5.15,15.19,Report,10.2% (95% CI 5.2-15.2%)
Sokoto,north west,Mother and newborn both received PNC within 2 days,441,9.68,4.62,14.74,Report,9.7% (95% CI 4.6-14.7%)
Sokoto,north west,Complete continuum,441,6.17,2.16,10.18,Report,6.2% (95% CI 2.2-10.2%)
Taraba,north east,Four or more ANC contacts,268,50.55,40.35,60.74,Report,50.5% (95% CI 40.4-60.7%)
Taraba,north east,Eight or more ANC contacts,268,3.17,0.7,5.64,Report,3.2% (95% CI 0.7-5.6%)
Taraba,north east,Skilled birth attendance,268,34.02,22.89,45.15,Report,34.0% (95% CI 22.9-45.1%)
Taraba,north east,Health facility delivery,268,32.81,21.73,43.88,Report,32.8% (95% CI 21.7-43.9%)
Taraba,north east,Maternal PNC within 2 days,268,34.41,26.56,42.27,Report,34.4% (95% CI 26.6-42.3%)
Taraba,north east,Newborn PNC within 2 days,268,32.29,24.76,39.83,Report,32.3% (95% CI 24.8-39.8%)
Taraba,north east,Mother and newborn both received PNC within 2 days,268,30.82,23.44,38.2,Report,30.8% (95% CI 23.4-38.2%)
Taraba,north east,Complete continuum,268,13.77,7.2,20.33,Report,13.8% (95% CI 7.2-20.3%)
Yobe,north east,Four or more ANC contacts,458,48.5,42.83,54.17,Report,48.5% (95% CI 42.8-54.2%)
Yobe,north east,Eight or more ANC contacts,458,3.6,1.03,6.17,Report,3.6% (95% CI 1.0-6.2%)
Yobe,north east,Skilled birth attendance,458,34.44,25.22,43.67,Report,34.4% (95% CI 25.2-43.7%)
Yobe,north east,Health facility delivery,456,31.65,25.3,38,Report,31.6% (95% CI 25.3-38.0%)
Yobe,north east,Maternal PNC within 2 days,458,33.89,25.47,42.32,Report,33.9% (95% CI 25.5-42.3%)
Yobe,north east,Newborn PNC within 2 days,458,32.34,23.86,40.83,Report,32.3% (95% CI 23.9-40.8%)
Yobe,north east,Mother and newborn both received PNC within 2 days,458,29.06,19.7,38.42,Report,29.1% (95% CI 19.7-38.4%)
Yobe,north east,Complete continuum,458,15.68,8.78,22.58,Report,15.7% (95% CI 8.8-22.6%)
Zamfara,north west,Four or more ANC contacts,292,21.46,12.39,30.53,Report,21.5% (95% CI 12.4-30.5%)
Zamfara,north west,Eight or more ANC contacts,292,0,0,0,Report,0.0% (95% CI 0.0-0.0%)
Zamfara,north west,Skilled birth attendance,292,12.36,4.42,20.3,Report,12.4% (95% CI 4.4-20.3%)
Zamfara,north west,Health facility delivery,292,14.58,6.97,22.19,Report,14.6% (95% CI 7.0-22.2%)
Zamfara,north west,Maternal PNC within 2 days,292,18.08,11.33,24.83,Report,18.1% (95% CI 11.3-24.8%)
Zamfara,north west,Newborn PNC within 2 days,292,18.05,11.89,24.22,Report,18.1% (95% CI 11.9-24.2%)
Zamfara,north west,Mother and newborn both received PNC within 2 days,292,10.97,6.8,15.14,Report,11.0% (95% CI 6.8-15.1%)
Zamfara,north west,Complete continuum,292,6.4,2.42,10.37,Report,6.4% (95% CI 2.4-10.4%)
