state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Benue,north central,Mother and newborn both received PNC within 2 days,218,50.96,43.61,58.3,Report,51.0% (95% CI 43.6-58.3%)
Benue,north central,Complete continuum,218,34.15,25.35,42.94,Report,34.1% (95% CI 25.4-42.9%)
Borno,north east,Four or more ANC contacts,347,61.1,53.04,69.16,Report,61.1% (95% CI 53.0-69.2%)
Borno,north east,Eight or more ANC contacts,347,5.02,2.06,7.98,Report,5.0% (95% CI 2.1-8.0%)
Borno,north east,Skilled birth attendance,347,36.66,29.5,43.81,Report,36.7% (95% CI 29.5-43.8%)
Borno,north east,Health facility delivery,347,43.71,33.63,53.78,Report,43.7% (95% CI 33.6-53.8%)
Borno,north east,Maternal PNC within 2 days,347,47.47,39.59,55.36,Report,47.5% (95% CI 39.6-55.4%)
Borno,north east,Newborn PNC within 2 days,347,44.97,37.05,52.9,Report,45.0% (95% CI 37.0-52.9%)
Borno,north east,Mother and newborn both received PNC within 2 days,347,41.5,34.27,48.72,Report,41.5% (95% CI 34.3-48.7%)
Borno,north east,Complete continuum,347,19.37,14.5,24.24,Report,19.4% (95% CI 14.5-24.2%)
Cross River,south south,Four or more ANC contacts,148,79.99,73.8,86.18,Report,80.0% (95% CI 73.8-86.2%)
Cross River,south south,Eight or more ANC contacts,148,44.29,32.74,55.84,Report,44.3% (95% CI 32.7-55.8%)
Cross River,south south,Skilled birth attendance,148,55.45,45.72,65.18,Report,55.5% (95% CI 45.7-65.2%)
Cross River,south south,Health facility delivery,148,58.21,47.88,68.54,Report,58.2% (95% CI 47.9-68.5%)
Cross River,south south,Maternal PNC within 2 days,148,74.64,64.53,84.75,Report,74.6% (95% CI 64.5-84.8%)
Cross River,south south,Newborn PNC within 2 days,148,76.41,66.61,86.21,Report,76.4% (95% CI 66.6-86.2%)
Cross River,south south,Mother and newborn both received PNC within 2 days,148,72.88,62.46,83.3,Report,72.9% (95% CI 62.5-83.3%)
Cross River,south south,Complete continuum,148,44.2,34.76,53.64,Report,44.2% (95% CI 34.8-53.6%)
Delta,south south,Four or more ANC contacts,154,81.02,72.05,89.98,Report,81.0% (95% CI 72.0-90.0%)
Delta,south south,Eight or more ANC contacts,154,57.85,47.45,68.26,Report,57.9% (95% CI 47.5-68.3%)
Delta,south south,Skilled birth attendance,205,81.23,71.05,91.41,Report,81.2% (95% CI 71.0-91.4%)
Delta,south south,Health facility delivery,205,83.48,73.45,93.51,Report,83.5% (95% CI 73.5-93.5%)
Delta,south south,Maternal PNC within 2 days,205,77.25,68.05,86.45,Report,77.2% (95% CI 68.0-86.5%)
Delta,south south,Newborn PNC within 2 days,205,72.38,64.15,80.61,Report,72.4% (95% CI 64.2-80.6%)
Delta,south south,Mother and newborn both received PNC within 2 days,205,69.9,61.39,78.41,Report,69.9% (95% CI 61.4-78.4%)
Delta,south south,Complete continuum,154,59.35,50.09,68.62,Report,59.4% (95% CI 50.1-68.6%)
Ebonyi,south east,Four or more ANC contacts,332,61.73,52.53,70.93,Report,61.7% (95% CI 52.5-70.9%)
Ebonyi,south east,Eight or more ANC contacts,332,12.87,9.54,16.19,Report,12.9% (95% CI 9.5-16.2%)
