equity_dimension,equity_category,indicator,unweighted_n,public_weighted_percent,rank_high_to_low,gap_to_best_pp,reporting_status
Wealth quintile,richer,Eight or more ANC contacts,1868,26.77,2,25.6,Report
Wealth quintile,richer,Skilled birth attendance,1962,70.9,2,20.62,Report
Wealth quintile,richer,Health facility delivery,1942,63.45,2,26.07,Report
Wealth quintile,richer,Maternal PNC within 2 days,1962,60.54,2,21.04,Report
Wealth quintile,richer,Newborn PNC within 2 days,1962,58.02,2,21.54,Report
Wealth quintile,richer,Mother and newborn both received PNC within 2 days,1962,53.23,2,21.84,Report
Wealth quintile,richer,Complete continuum,1868,40.49,2,25.3,Report
Wealth quintile,richest,Four or more ANC contacts,1542,90.57,1,0,Report
Wealth quintile,richest,Eight or more ANC contacts,1542,52.37,1,0,Report
Wealth quintile,richest,Skilled birth attendance,1659,91.52,1,0,Report
Wealth quintile,richest,Health facility delivery,1645,89.52,1,0,Report
Wealth quintile,richest,Maternal PNC within 2 days,1659,81.58,1,0,Report
Wealth quintile,richest,Newborn PNC within 2 days,1659,79.56,1,0,Report
Wealth quintile,richest,Mother and newborn both received PNC within 2 days,1659,75.07,1,0,Report
Wealth quintile,richest,Complete continuum,1542,65.79,1,0,Report
Education,higher,Four or more ANC contacts,1061,90.62,1,0,Report
Education,higher,Eight or more ANC contacts,1061,45.93,1,0,Report
Education,higher,Skilled birth attendance,1143,90.85,1,0,Report
Education,higher,Health facility delivery,1137,90.07,1,0,Report
Education,higher,Maternal PNC within 2 days,1143,82.86,1,0,Report
Education,higher,Newborn PNC within 2 days,1143,80.96,1,0,Report
Education,higher,Mother and newborn both received PNC within 2 days,1143,77.5,1,0,Report
Education,higher,Complete continuum,1061,69.66,1,0,Report
Education,no education,Four or more ANC contacts,4513,31.83,4,58.79,Report
Education,no education,Eight or more ANC contacts,4513,3.24,4,42.69,Report
Education,no education,Skilled birth attendance,4534,18.05,4,72.8,Report
Education,no education,Health facility delivery,4528,17.95,4,72.12,Report
Education,no education,Maternal PNC within 2 days,4534,22.12,4,60.74,Report
Education,no education,Newborn PNC within 2 days,4534,22.07,4,58.89,Report
Education,no education,Mother and newborn both received PNC within 2 days,4534,18.54,4,58.96,Report
Education,no education,Complete continuum,4513,6.45,4,63.21,Report
Education,primary,Four or more ANC contacts,1142,55.55,3,35.07,Report
Education,primary,Eight or more ANC contacts,1142,13.65,3,32.28,Report
Education,primary,Skilled birth attendance,1172,42.71,3,48.14,Report
Education,primary,Health facility delivery,1162,38.63,3,51.44,Report
Education,primary,Maternal PNC within 2 days,1172,37.28,3,45.58,Report
Education,primary,Newborn PNC within 2 days,1172,37.68,3,43.28,Report
Education,primary,Mother and newborn both received PNC within 2 days,1172,32.47,3,45.03,Report
Education,primary,Complete continuum,1142,18.41,3,51.25,Report
Education,secondary,Four or more ANC contacts,3520,73.5,2,17.12,Report
Education,secondary,Eight or more ANC contacts,3520,28.79,2,17.14,Report
Education,secondary,Skilled birth attendance,3673,69.83,2,21.02,Report
Education,secondary,Health facility delivery,3633,65.22,2,24.85,Report
Education,secondary,Maternal PNC within 2 days,3673,61.69,2,21.17,Report
Education,secondary,Newborn PNC within 2 days,3673,60.36,2,20.6,Report
Education,secondary,Mother and newborn both received PNC within 2 days,3673,55.58,2,21.92,Report
Education,secondary,Complete continuum,3520,39.36,2,30.3,Report
Age group,15-19,Four or more ANC contacts,654,40.16,7,18.37,Report
Age group,15-19,Eight or more ANC contacts,654,8.49,7,11.93,Report
Age group,15-19,Skilled birth attendance,666,31.92,7,18.37,Report
Age group,15-19,Health facility delivery,664,30.77,6,17.43,Report
Age group,15-19,Maternal PNC within 2 days,666,30.99,6,17.18,Report
Age group,15-19,Newborn PNC within 2 days,666,31.3,6,15.11,Report
Age group,15-19,Mother and newborn both received PNC within 2 days,666,25.96,7,17,Report
Age group,15-19,Complete continuum,654,12.41,7,17.51,Report
Age group,20-24,Four or more ANC contacts,2365,50.9,4,7.63,Report
Age group,20-24,Eight or more ANC contacts,2365,13.42,5,7,Report
Age group,20-24,Skilled birth attendance,2420,41.74,4,8.55,Report
Age group,20-24,Health facility delivery,2409,39.75,4,8.45,Report
Age group,20-24,Maternal PNC within 2 days,2420,40.04,4,8.13,Report
Age group,20-24,Newborn PNC within 2 days,2420,39.59,4,6.82,Report
Age group,20-24,Mother and newborn both received PNC within 2 days,2420,34.98,4,7.98,Report
Age group,20-24,Complete continuum,2365,20.39,5,9.53,Report
Age group,25-29,Four or more ANC contacts,2745,55.35,3,3.18,Report
Age group,25-29,Eight or more ANC contacts,2745,18.31,3,2.11,Report
Age group,25-29,Skilled birth attendance,2813,46.56,3,3.73,Report
Age group,25-29,Health facility delivery,2796,44.37,3,3.83,Report
Age group,25-29,Maternal PNC within 2 days,2813,44.13,3,4.04,Report
Age group,25-29,Newborn PNC within 2 days,2813,44.17,3,2.24,Report
Age group,25-29,Mother and newborn both received PNC within 2 days,2813,39.94,3,3.02,Report
Age group,25-29,Complete continuum,2745,26.71,3,3.21,Report
Age group,30-34,Four or more ANC contacts,2287,58.53,1,0,Report
Age group,30-34,Eight or more ANC contacts,2287,20.42,1,0,Report
Age group,30-34,Skilled birth attendance,2365,49.88,2,0.41,Report
Age group,30-34,Health facility delivery,2347,47.21,2,0.99,Report
Age group,30-34,Maternal PNC within 2 days,2365,48.17,1,0,Report
Age group,30-34,Newborn PNC within 2 days,2365,46.41,1,0,Report
Age group,30-34,Mother and newborn both received PNC within 2 days,2365,42.96,1,0,Report
Age group,30-34,Complete continuum,2287,29.92,1,0,Report
Age group,35-39,Four or more ANC contacts,1410,57,2,1.53,Report
Age group,35-39,Eight or more ANC contacts,1410,19.34,2,1.08,Report
Age group,35-39,Skilled birth attendance,1463,50.29,1,0,Report
Age group,35-39,Health facility delivery,1453,48.2,1,0,Report
Age group,35-39,Maternal PNC within 2 days,1463,47.07,2,1.1,Report
Age group,35-39,Newborn PNC within 2 days,1463,46.25,2,0.16,Report
Age group,35-39,Mother and newborn both received PNC within 2 days,1463,42.24,2,0.72,Report
Age group,35-39,Complete continuum,1410,27.37,2,2.55,Report
Age group,40-44,Four or more ANC contacts,632,50.22,5,8.31,Report
Age group,40-44,Eight or more ANC contacts,632,15.59,4,4.83,Report
Age group,40-44,Skilled birth attendance,649,40.81,5,9.48,Report
Age group,40-44,Health facility delivery,645,38.92,5,9.28,Report
Age group,40-44,Maternal PNC within 2 days,649,36.69,5,11.48,Report
Age group,40-44,Newborn PNC within 2 days,649,36.3,5,10.11,Report
Age group,40-44,Mother and newborn both received PNC within 2 days,649,32.7,5,10.26,Report
Age group,40-44,Complete continuum,632,21.61,4,8.31,Report
Age group,45-49,Four or more ANC contacts,143,42.27,6,16.26,Report
Age group,45-49,Eight or more ANC contacts,143,10.07,6,10.35,Report
Age group,45-49,Skilled birth attendance,146,33.44,6,16.85,Report
Age group,45-49,Health facility delivery,146,30.66,7,17.54,Report
Age group,45-49,Maternal PNC within 2 days,146,30.21,7,17.96,Report
Age group,45-49,Newborn PNC within 2 days,146,29.93,7,16.48,Report
Age group,45-49,Mother and newborn both received PNC within 2 days,146,27.55,6,15.41,Report
Age group,45-49,Complete continuum,143,14.74,6,15.18,Report
